,CEIX
% Below High,0.13390000000000002
% Held by Institutions,0.8776
52-Wk Range,['19.11 - 79.17']
Annual Dividend $,4.2
Annual Dividend %,0.0613
Ask,73.94
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,68.57
Bid Size,100.0
Closing Price,68.57
Day Change $,-0.67
Day Change %,-0.0097
Day High,69.88
Day Low,67.73
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",10.71
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.679
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",6.4
Prev Close,69.24
Short Interest,0.042800000000000005
Today's Open,69.08
Volume,261414.0
Volume 10-day Avg,633958.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,2.014705882352941
Growth 1yr High Est,2.2500000000000004
Growth 1yr Consensus Est,2.132352941176471
Growth 2yr Low Est,1.3854017216642753
Growth 2yr High Est,1.9123303167420815
Growth 2yr Consensus Est,1.6488660192031785
Growth 5yr Low Est,0.6927008608321377
Growth 5yr High Est,0.9561651583710408
Growth 5yr Consensus Est,0.8244330096015893
Growth 5yr Actual/Est,1.6819889893484223
Growth 3yr Historic,-1.1749270577395579
Price/Earnings (TTM),6.40082
Price/Sales (TTM),1.16699
Price/Book (MRQ),2.60914
Price/Cash Flow (TTM),3.87917
5yr Low,3.35
5yr High,79.17
5yr Avg Return,0.6172166666666666
EPS Growth 5yr,-0.0824409
Revenue Growth 5yr,0.0114419
Dividend Growth 5yr,
Short Int Current Month,1464772.0
Short Int Prev Month,1843283.0
Short Int Pct of Float,0.042801900000000004
Days to Cover,1.68669
Float,34.22213
Shares Outstanding,34.87136
Institutions Holding Shares,281.0
FCF Growth 5yr,0.4734567204731926
"Price/Earnings (TTM, GAAP)",6.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9205
Operating Profit Margin (TTM),0.3194
Net Profit Margin (TTM),0.19100000000000003
Annual Dividend Yield,0.0613
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2027
EPS Growth (TTM),6.554500000000001
Revenue Growth (MRQ),-0.12810000000000002
Revenue Growth (TTM),0.6302000000000001
Return On Equity (TTM),0.5586
Return On Assets (TTM),0.14730000000000001
Return On Investment (TTM),0.18280000000000002
Revenue Per Employee (TTM),1300939.0
Total Debt/Total Capital (MRQ),0.34149999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0036
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),16.02
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-08-12 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-08 00:00:00
