,AX
% Above Low,0.18670000000000003
% Held by Institutions,0.7938
52-Wk Range,['33.91 - 61.79']
Annual Dividend $,
Annual Dividend %,
Ask,40.62
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,
Bid Size,
Closing Price,40.24
Day Change $,0.49
Day Change %,0.0123
Day High,40.68
Day Low,39.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.96
Ex-dividend Date,No dividend
Historical Volatility,0.418
Last (size),27.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
"P/E Ratio (TTM, GAAP)",10.16
Prev Close,39.75
Short Interest,0.0358
Today's Open,39.91
Volume,104327.0
Volume 10-day Avg,277464.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.14285714285714302
Growth 1yr High Est,0.1613691931540342
Growth 1yr Consensus Est,0.1521131680055886
Growth 2yr Low Est,0.12824675324675328
Growth 2yr High Est,0.117526701840175
Growth 2yr Consensus Est,0.12288672754346414
Growth 5yr Low Est,0.11674783549783552
Growth 5yr High Est,0.12162921927466545
Growth 5yr Consensus Est,0.11918852738625048
Growth 5yr Actual/Est,0.13940500572852277
Growth 3yr Historic,0.07744985295226609
Price/Earnings (TTM),10.15587
Price/Sales (TTM),3.13138
Price/Book (MRQ),1.41939
Price/Cash Flow (TTM),9.12524
5yr Low,13.69
5yr High,62.44
5yr Avg Return,0.10558333333333332
EPS Growth 5yr,0.1388668
Revenue Growth 5yr,0.1124145
Dividend Growth 5yr,
Short Int Current Month,1913047.0
Short Int Prev Month,2349336.0
Short Int Pct of Float,0.035763500000000004
Days to Cover,6.49971
Float,53.52116
Shares Outstanding,59.99934
Institutions Holding Shares,326.0
FCF Growth 5yr,0.08866570817734547
"Price/Earnings (TTM, GAAP)",10.16
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.43820000000000003
Net Profit Margin (TTM),0.3099
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.011200000000000002
EPS Growth (TTM),0.0801
Revenue Growth (MRQ),0.2152
Revenue Growth (TTM),0.15789999999999998
Return On Equity (TTM),0.1512
Return On Assets (TTM),0.0143
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0036
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2020-10-26 00:00:00
marketEdge opinion since,
