,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,40.25,32.86,22.9,26.52,18.15,,,,,
low,24.67,15.3,5.71,13.05,5.76,,,,,
change,-0.2275,-0.26920000000000005,-0.1097,-0.0412,-0.5985,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,634.0,710.0,671.0,676.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,2.0,3.0,3.0,3.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,,,,19.0,26.0,23.0,29.0,Balance Sheet
Prepaid Expenses,,,,,,18.0,11.0,10.0,9.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Total Current Assets,,,,,,674.0,749.0,706.0,716.0,Balance Sheet
Buildings,,,,,,5.0,5.0,5.0,5.0,Balance Sheet
Machinery/Equipment,,,,,,58.0,59.0,60.0,62.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,13.0,11.0,9.0,8.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,76.0,75.0,74.0,75.0,Balance Sheet
Accumulated Depreciation,,,,,,-58.0,-59.0,-60.0,-61.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,18.0,16.0,14.0,13.0,Balance Sheet
"Goodwill, Net",,,,,,174.0,174.0,174.0,174.0,Balance Sheet
Intangibles - Gross,,,,,,99.0,99.0,99.0,99.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-68.0,-70.0,-72.0,-75.0,Balance Sheet
Intangibles - Net,,,,,,31.0,29.0,26.0,24.0,Balance Sheet
Other Long Term Assets,,,,,,4.0,3.0,3.0,3.0,Balance Sheet
Total Assets,,,,,,903.0,973.0,925.0,932.0,Balance Sheet
Accounts Payable,,,,,,286.0,382.0,342.0,356.0,Balance Sheet
Accrued Expenses,,,,,,50.0,33.0,35.0,38.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,21.0,21.0,22.0,20.0,Balance Sheet
