,EB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,18.12,Valuation,
Price/Sales (TTM),2.81,4.52,Valuation,0.6216814159292036
Price/Book (MRQ),4.66,5.02,Valuation,0.9282868525896415
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.6515000000000001,0.6097,Profitability,1.0685583073642777
Operating Profit Margin (TTM),-0.2154,0.24480000000000002,Profitability,-0.8799019607843137
Net Profit Margin (TTM),-0.3061,0.1981,Profitability,-1.5451792024230186
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),-0.045899999999999996,-0.2712,Gowth rates,0.16924778761061945
EPS Growth (TTM),0.48950000000000005,-0.0227,Gowth rates,-21.56387665198238
Revenue Growth (MRQ),0.0217,0.7634000000000001,Gowth rates,0.028425465024888654
Revenue Growth (TTM),0.6154000000000001,1.7572999999999999,Gowth rates,0.3501963239059922
Return On Equity (TTM),-0.4756,0.2407,Effectiveness,-1.9759036144578315
Return On Assets (TTM),-0.0812,0.16899999999999998,Effectiveness,-0.4804733727810651
Return On Investment (TTM),-0.1435,0.20510000000000003,Effectiveness,-0.6996587030716722
Revenue Per Employee (TTM),352229.0,1707732.0,Effectiveness,0.20625543118006806
Total Debt/Total Capital (MRQ),0.7029000000000001,0.0821,Financial strength,8.56151035322777
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.028999999999999998,Financial strength,0.006896551724137932
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),-4.7,29.8,Financial strength,-0.15771812080536912
