,EB
% Above Low,0.2309
% Held by Institutions,0.9723999999999999
52-Wk Range,['5.76 - 18.15']
Annual Dividend $,
Annual Dividend %,
Ask,7.46
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,2.5
Bid,6.01
Bid Size,300.0
Closing Price,7.09
Day Change $,-0.09
Day Change %,-0.0125
Day High,7.21
Day Low,7.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.61
Last (size),37.0
Last (time),5:00p ET 11/25/22
Market Cap,700.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.18
Short Interest,0.1925
Today's Open,7.12
Volume,381745.0
Volume 10-day Avg,813862.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.4758620689655172
Growth 1yr High Est,-0.4755244755244755
Growth 1yr Consensus Est,-0.47569327224499636
Growth 2yr Low Est,-0.3366152450090744
Growth 2yr High Est,-0.5244289044289043
Growth 2yr Consensus Est,-0.4305220747189894
Growth 5yr Low Est,-0.3787311509937039
Growth 5yr High Est,-0.4989114189114188
Growth 5yr Consensus Est,-0.43882128495256145
Growth 5yr Actual/Est,0.18338435374149661
Growth 3yr Historic,0.39583333333333337
Price/Earnings (TTM),
Price/Sales (TTM),2.8098
Price/Book (MRQ),4.66064
Price/Cash Flow (TTM),
5yr Low,5.71
5yr High,40.25
5yr Avg Return,-0.24922000000000005
EPS Growth 5yr,
Revenue Growth 5yr,0.0698797
Dividend Growth 5yr,
Short Int Current Month,15332556.0
Short Int Prev Month,15876911.0
Short Int Pct of Float,0.19247250000000002
Days to Cover,13.3697
Float,79.80311
Shares Outstanding,98.69016
Institutions Holding Shares,209.0
FCF Growth 5yr,-0.11600137910864643
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6515000000000001
Operating Profit Margin (TTM),-0.2154
Net Profit Margin (TTM),-0.3061
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.045899999999999996
EPS Growth (TTM),0.48950000000000005
Revenue Growth (MRQ),0.0217
Revenue Growth (TTM),0.6154000000000001
Return On Equity (TTM),-0.4756
Return On Assets (TTM),-0.0812
Return On Investment (TTM),-0.1435
Revenue Per Employee (TTM),352229.0
Total Debt/Total Capital (MRQ),0.7029000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),-4.7
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2019-11-20 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2019-11-20 00:00:00
marketEdge opinion since,
