,ENV
% Above Low,0.3979
% Held by Institutions,1.0185
52-Wk Range,['41.72 - 84.58']
Annual Dividend $,
Annual Dividend %,
Ask,90.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,23.42
Bid Size,200.0
Closing Price,58.32
Day Change $,0.97
Day Change %,0.0169
Day High,58.76
Day Low,56.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.9
Ex-dividend Date,No dividend
Historical Volatility,0.37200000000000005
Last (size),26.0
Last (time),5:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,57.35
Short Interest,0.050300000000000004
Today's Open,57.24
Volume,108677.0
Volume 10-day Avg,995985.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.2406639004149378
Growth 1yr High Est,-0.22857142857142865
Growth 1yr Consensus Est,-0.23461766449318322
Growth 2yr Low Est,-0.08754506496156733
Growth 2yr High Est,-0.0058201058201058364
Growth 2yr Consensus Est,-0.046682585390836584
Growth 5yr Low Est,-0.010292707528996109
Growth 5yr High Est,0.03379765342829638
Growth 5yr Consensus Est,0.011752472949650136
Growth 5yr Actual/Est,0.013199309930786274
Growth 3yr Historic,0.034245769613609645
Price/Earnings (TTM),
Price/Sales (TTM),2.5476
Price/Book (MRQ),3.42963
Price/Cash Flow (TTM),43.73655
5yr Low,41.72
5yr High,92.51
5yr Avg Return,0.04909999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.15463459999999998
Dividend Growth 5yr,
Short Int Current Month,2653680.0
Short Int Prev Month,2698743.0
Short Int Pct of Float,0.0503044
Days to Cover,2.882
Float,52.7897
Shares Outstanding,55.32614
Institutions Holding Shares,328.0
FCF Growth 5yr,-0.7405759662933321
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6191
Operating Profit Margin (TTM),-0.0322
Net Profit Margin (TTM),-0.0418
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6870999999999999
EPS Growth (TTM),-2.9375
Revenue Growth (MRQ),-0.0381
Revenue Growth (TTM),0.1201
Return On Equity (TTM),-0.0526
Return On Assets (TTM),-0.024
Return On Investment (TTM),-0.03
Revenue Per Employee (TTM),289493.0
Total Debt/Total Capital (MRQ),0.4755
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.45
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-06-21 00:00:00
ford since,2021-08-13 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-06-21 00:00:00
