,DE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.93,24.01,Valuation,0.7884214910453977
Price/Sales (TTM),2.55,3.06,Valuation,0.8333333333333333
Price/Book (MRQ),6.58,7.44,Valuation,0.8844086021505376
"PEG Ratio (TTM, GAAP)",1.55,1.49,Valuation,1.0402684563758389
Gross Profit Margin (TTM),0.3271,0.32799999999999996,Profitability,0.9972560975609758
Operating Profit Margin (TTM),0.1887,0.0198,Profitability,9.53030303030303
Net Profit Margin (TTM),0.1362,-0.0086,Profitability,-15.83720930232558
Annual Dividend Yield,0.0102,0.0143,Dividend,0.7132867132867133
Dividend Change %,0.2892,0.1666,Dividend,1.7358943577430974
"Dividend Growth Rate, 3 Years",0.1295,0.0885,Dividend,1.4632768361581923
EPS Growth (MRQ),0.2064,0.3518,Gowth rates,0.5866969869243889
EPS Growth (TTM),0.22820000000000001,0.16149999999999998,Gowth rates,1.4130030959752324
Revenue Growth (MRQ),0.1017,0.196,Gowth rates,0.5188775510204081
Revenue Growth (TTM),0.18760000000000002,0.1475,Gowth rates,1.2718644067796612
Return On Equity (TTM),0.3686,0.2859,Effectiveness,1.2892619797131863
Return On Assets (TTM),0.0818,0.0851,Effectiveness,0.9612220916568743
Return On Investment (TTM),0.1259,0.12490000000000001,Effectiveness,1.0080064051240993
Revenue Per Employee (TTM),,343373.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.7183,0.6352000000000001,Financial strength,1.1308249370277077
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0189,Financial strength,0.0
Quick Ratio (MRQ),,1.07,Financial strength,
Interest Coverage (MRQ),9.65,20.9,Financial strength,0.46172248803827753
