,DE
% Below High,0.0155
% Held by Institutions,0.7598999999999999
52-Wk Range,['283.81 - 448.40']
Annual Dividend $,4.52
Annual Dividend %,0.0102
Ask,441.29
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.1
Bid,439.5
Bid Size,300.0
Closing Price,441.47
Day Change $,3.95
Day Change %,0.009000000000000001
Day High,442.41
Day Low,432.55
Dividend Pay Date,2022-11-08 00:00:00
"EPS (TTM, GAAP)",23.33
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.36100000000000004
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,133.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.93
Prev Close,437.52
Short Interest,0.011000000000000001
Today's Open,435.77
Volume,1135508.0
Volume 10-day Avg,1940150.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-17 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.08444444444444432
Growth 1yr High Est,0.27397849462365587
Growth 1yr Consensus Est,0.1792114695340501
Growth 2yr Low Est,0.041812386156648396
Growth 2yr High Est,0.1940452905258725
Growth 2yr Consensus Est,0.11792883834126044
Growth 5yr Low Est,0.10170771454960052
Growth 5yr High Est,0.19862759628131763
Growth 5yr Consensus Est,0.15016765541545907
Growth 5yr Actual/Est,0.41276369445578465
Growth 3yr Historic,0.35279469965113974
Price/Earnings (TTM),18.92646
Price/Sales (TTM),2.55008
Price/Book (MRQ),6.57607
Price/Cash Flow (TTM),14.78193
5yr Low,106.14
5yr High,448.4
5yr Avg Return,0.2138166666666667
EPS Growth 5yr,0.2837825
Revenue Growth 5yr,0.1193282
Dividend Growth 5yr,0.12265549999999999
Short Int Current Month,3311368.0
Short Int Prev Month,3320303.0
Short Int Pct of Float,0.010993200000000002
Days to Cover,1.86588
Float,301.2839
Shares Outstanding,301.8196
Institutions Holding Shares,2495.0
FCF Growth 5yr,-0.6265916739465013
"Price/Earnings (TTM, GAAP)",18.93
"PEG Ratio (TTM, GAAP)",1.55
Gross Profit Margin (TTM),0.3271
Operating Profit Margin (TTM),0.1887
Net Profit Margin (TTM),0.1362
Annual Dividend Yield,0.0102
Dividend Change %,0.2892
"Dividend Growth Rate, 3 Years",0.1295
EPS Growth (MRQ),0.2064
EPS Growth (TTM),0.22820000000000001
Revenue Growth (MRQ),0.1017
Revenue Growth (TTM),0.18760000000000002
Return On Equity (TTM),0.3686
Return On Assets (TTM),0.0818
Return On Investment (TTM),0.1259
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.7183
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.65
researchTeam,rating-box
cfra,
theStreet,rating-box
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
cfra since,2020-11-26 00:00:00
theStreet since,2018-05-21 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
