,EXPD
% Below High,0.1816
% Held by Institutions,0.9521999999999999
52-Wk Range,['86.08 - 137.80']
Annual Dividend $,1.34
Annual Dividend %,0.011899999999999999
Ask,113.29
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,112.25
Bid Size,100.0
Closing Price,112.77
Day Change $,-1.22
Day Change %,-0.010700000000000001
Day High,114.23
Day Low,111.18
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",9.51
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.317
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,17.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.86
Prev Close,113.99
Short Interest,0.06
Today's Open,113.61
Volume,1428000.0
Volume 10-day Avg,2040190.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,1.2005141388174807
Growth 1yr High Est,1.3503649635036497
Growth 1yr Consensus Est,1.2754395511605652
Growth 2yr Low Est,0.3923131441750955
Growth 2yr High Est,0.530772543863626
Growth 2yr Consensus Est,0.46154284401936074
Growth 5yr Low Est,0.23302972842973066
Growth 5yr High Est,0.30159797109615843
Growth 5yr Consensus Est,0.26731384976294453
Growth 5yr Actual/Est,0.2390586271378551
Growth 3yr Historic,0.30813275061062667
Price/Earnings (TTM),11.85768
Price/Sales (TTM),0.94322
Price/Book (MRQ),5.15334
Price/Cash Flow (TTM),10.84213
5yr Low,52.55
5yr High,137.8
5yr Avg Return,0.12065000000000003
EPS Growth 5yr,0.2851342
Revenue Growth 5yr,0.2206256
Dividend Growth 5yr,0.0771436
Short Int Current Month,9489748.0
Short Int Prev Month,8825288.0
Short Int Pct of Float,0.0599947
Days to Cover,5.25745
Float,158.2158
Shares Outstanding,159.1364
Institutions Holding Shares,1045.0
FCF Growth 5yr,0.49757525083612036
"Price/Earnings (TTM, GAAP)",11.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2548
Operating Profit Margin (TTM),0.11130000000000001
Net Profit Margin (TTM),0.08410000000000001
Annual Dividend Yield,0.011899999999999999
Dividend Change %,0.11539999999999999
"Dividend Growth Rate, 3 Years",0.0883
EPS Growth (MRQ),0.11800000000000001
EPS Growth (TTM),0.4061
Revenue Growth (MRQ),-0.0524
Revenue Growth (TTM),0.3486
Return On Equity (TTM),0.4612
Return On Assets (TTM),0.2338
Return On Investment (TTM),0.4161
Revenue Per Employee (TTM),997698.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2013-07-10 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-16 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
