,CLOV
% Above Low,0.0661
% Held by Institutions,0.3169
52-Wk Range,['1.21 - 5.57']
Annual Dividend $,
Annual Dividend %,
Ask,1.29
Ask Size,3400.0
B/A Ratio,1.2058823529411764
B/A Size,4100x3400
Beta,
Bid,1.28
Bid Size,4100.0
Closing Price,1.29
Day Change $,0.06
Day Change %,0.048799999999999996
Day High,1.3
Day Low,1.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.98
Ex-dividend Date,No dividend
Historical Volatility,0.851
Last (size),187.0
Last (time),12:59p ET 11/25/22
Market Cap,621.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.23
Short Interest,0.0868
Today's Open,1.25
Volume,1958275.0
Volume 10-day Avg,6715489.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1333333333333333
Growth 2yr High Est,-0.46031746031746024
Growth 2yr Consensus Est,-0.29682539682539677
Growth 5yr Low Est,-0.1333333333333333
Growth 5yr High Est,-0.46031746031746024
Growth 5yr Consensus Est,-0.29682539682539677
Growth 5yr Actual/Est,-1.842253176930596
Growth 3yr Historic,-1.625
Price/Earnings (TTM),
Price/Sales (TTM),0.20484
Price/Book (MRQ),1.56611
Price/Cash Flow (TTM),
5yr Low,1.21
5yr High,28.85
5yr Avg Return,-0.2598666666666667
Short Int Current Month,29736860.0
Short Int Prev Month,30947866.0
Short Int Pct of Float,0.0867569
Days to Cover,3.02211
Float,346.3558
Shares Outstanding,477.9438
Institutions Holding Shares,212.0
FCF Growth 5yr,-0.38534757092968003
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.1497
Net Profit Margin (TTM),-0.1468
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2796
EPS Growth (TTM),0.05
Revenue Growth (MRQ),0.011899999999999999
Revenue Growth (TTM),1.8943
Return On Equity (TTM),-1.1045
Return On Assets (TTM),-0.3522
Return On Investment (TTM),-0.7703
Revenue Per Employee (TTM),4426371.0
Total Debt/Total Capital (MRQ),0.048499999999999995
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),-53.41
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-10 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2022-05-10 00:00:00
newConstructs since,
marketEdge opinion since,
