,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,17.2,28.85,4.11,,,,,
low,9.87,3.68,1.21,,,,,
change,0.6653,-0.7862,-0.6587000000000001,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,300.0,274.0,324.0,383.0,Balance Sheet
Short Term Investments,,,,328.0,305.0,199.0,341.0,Balance Sheet
Cash and Short Term Invs,,,,628.0,579.0,523.0,724.0,Balance Sheet
"Total Receivables, Net",,,,62.0,1816.0,1257.0,668.0,Balance Sheet
Prepaid Expenses,,,,9.0,22.0,20.0,18.0,Balance Sheet
"Other Curr. Assets, Total",,,,53.0,75.0,60.0,51.0,Balance Sheet
Total Current Assets,,,,753.0,2491.0,1861.0,1460.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,8.0,7.0,7.0,7.0,Balance Sheet
Intangibles - Net,,,,4.0,4.0,4.0,4.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,3.0,2.0,1.0,Balance Sheet
LT Investments - Other,,,,176.0,159.0,174.0,71.0,Balance Sheet
Long Term Investments,,,,176.0,162.0,176.0,72.0,Balance Sheet
Other Long Term Assets,,,,10.0,15.0,15.0,15.0,Balance Sheet
Total Assets,,,,951.0,2680.0,2063.0,1558.0,Balance Sheet
Payable/Accrued,,,,28.0,27.0,30.0,38.0,Balance Sheet
Accrued Expenses,,,,18.0,14.0,17.0,22.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,,96.0,Balance Sheet
Other Payables,,,,40.0,1863.0,1336.0,805.0,Balance Sheet
Other Current Liabilities,,,,286.0,247.0,216.0,168.0,Balance Sheet
"Other Curr. Lblts, Total",,,,326.0,2111.0,1552.0,1069.0,Balance Sheet
Total Current Liabilities,,,,373.0,2152.0,1599.0,1128.0,Balance Sheet
Total Long Term Debt,,,,20.0,20.0,20.0,20.0,Balance Sheet
Total Debt,,,,20.0,20.0,20.0,20.0,Balance Sheet
Minority Interest,,,,4.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,19.0,18.0,18.0,17.0,Balance Sheet
Total Liabilities,,,,415.0,2190.0,1636.0,1166.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,,,,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,2154.0,2195.0,2238.0,2281.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-1617.0,-1692.0,-1796.0,-1872.0,Balance Sheet
Treasury Stock - Common,,,,0.0,-6.0,-6.0,-6.0,Balance Sheet
"Other Equity, Total",,,,-2.0,-7.0,-8.0,-11.0,Balance Sheet
Total Equity,,,,535.0,490.0,427.0,392.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,951.0,2680.0,2063.0,1558.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,353.0,377.0,381.0,381.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,118.0,94.0,94.0,94.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,471.0,471.0,475.0,476.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,2.0,2.0,2.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,432.0,874.0,847.0,857.0,Income Statement
