,CLOV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),0.2,1.32,Valuation,0.15151515151515152
Price/Book (MRQ),1.57,4.31,Valuation,0.36426914153132256
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),,0.1318,Profitability,
Operating Profit Margin (TTM),-0.1497,0.0458,Profitability,-3.2685589519650655
Net Profit Margin (TTM),-0.1468,0.0242,Profitability,-6.0661157024793395
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.2796,-0.1478,Gowth rates,-1.8917456021650882
EPS Growth (TTM),0.05,-1.101,Gowth rates,-0.04541326067211626
Revenue Growth (MRQ),0.011899999999999999,0.0931,Gowth rates,0.12781954887218044
Revenue Growth (TTM),1.8943,0.1191,Gowth rates,15.905121746431572
Return On Equity (TTM),-1.1045,7.2022,Effectiveness,-0.15335591902474244
Return On Assets (TTM),-0.3522,0.0403,Effectiveness,-8.739454094292803
Return On Investment (TTM),-0.7703,0.016,Effectiveness,-48.14375
Revenue Per Employee (TTM),4426371.0,1375304.0,Effectiveness,3.2184673352218853
Total Debt/Total Capital (MRQ),0.048499999999999995,0.4855,Financial strength,0.09989701338825951
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003,0.0015,Financial strength,-2.6
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),-53.41,9.55,Financial strength,-5.592670157068062
