,DXLG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.33,19.03,Valuation,0.28008407777193906
Price/Sales (TTM),0.84,1.93,Valuation,0.43523316062176165
Price/Book (MRQ),3.53,92.12,Valuation,0.038319583152409895
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.5051,0.34390000000000004,Profitability,1.4687409130561209
Operating Profit Margin (TTM),0.1094,0.11789999999999999,Profitability,0.9279050042408822
Net Profit Margin (TTM),0.16940000000000002,0.0818,Profitability,2.070904645476773
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-0.8149,-0.10800000000000001,Gowth rates,7.545370370370369
EPS Growth (TTM),1.2464,0.0262,Gowth rates,47.57251908396946
Revenue Growth (MRQ),-0.1035,0.0478,Gowth rates,-2.1652719665271962
Revenue Growth (TTM),0.1351,0.0874,Gowth rates,1.5457665903890159
Return On Equity (TTM),1.0356999999999998,5.2054,Effectiveness,0.19896645790909437
Return On Assets (TTM),0.30010000000000003,0.1562,Effectiveness,1.9212548015364919
Return On Investment (TTM),0.4455,0.26,Effectiveness,1.7134615384615384
Revenue Per Employee (TTM),395721.0,410011.0,Effectiveness,0.9651472765364831
Total Debt/Total Capital (MRQ),0.0,0.8926999999999999,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0016,Financial strength,
Quick Ratio (MRQ),0.34,0.39,Financial strength,0.8717948717948718
Interest Coverage (MRQ),118.35,13.36,Financial strength,8.858532934131736
