,DXLG
% Below High,0.1056
% Held by Institutions,0.7145999999999999
52-Wk Range,['3.27 - 8.05']
Annual Dividend $,
Annual Dividend %,
Ask,7.2
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.6
Bid,7.0
Bid Size,600.0
Closing Price,7.2
Day Change $,0.1
Day Change %,0.0141
Day High,7.21
Day Low,7.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.35
Ex-dividend Date,No dividend
Historical Volatility,0.682
Last (size),50.0
Last (time),12:59p ET 11/25/22
Market Cap,449.8M
"P/E Ratio (TTM, GAAP)",5.33
Prev Close,7.1
Short Interest,0.0695
Today's Open,7.08
Volume,470960.0
Volume 10-day Avg,1107777.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-10.214285714285714
Growth 1yr High Est,-10.5
Growth 1yr Consensus Est,-10.357142857142858
Growth 2yr Low Est,-5.347452934662236
Growth 2yr High Est,-5.453007518796992
Growth 2yr Consensus Est,-5.400230226729614
Growth 5yr Low Est,-3.5649686231081574
Growth 5yr High Est,-3.6353383458646618
Growth 5yr Consensus Est,-3.6001534844864103
Growth 5yr Actual/Est,-2.2643354223874774
Growth 3yr Historic,-2.3095238095238093
"Price/Earnings (TTM, GAAP)",5.33
Price/Sales (TTM),0.84
Price/Book (MRQ),3.53
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5051
Operating Profit Margin (TTM),0.1094
Net Profit Margin (TTM),0.16940000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8149
EPS Growth (TTM),1.2464
Revenue Growth (MRQ),-0.1035
Revenue Growth (TTM),0.1351
Return On Equity (TTM),1.0356999999999998
Return On Assets (TTM),0.30010000000000003
Return On Investment (TTM),0.4455
Revenue Per Employee (TTM),395721.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.34
Interest Coverage (MRQ),118.35
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-12-25 00:00:00
ford since,2022-08-05 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-09-09 00:00:00
marketEdge opinion since,
