,JNJ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.68,26.82,Valuation,0.9202087994034303
Price/Sales (TTM),4.82,18.12,Valuation,0.26600441501103755
Price/Book (MRQ),6.22,11.52,Valuation,0.5399305555555556
"PEG Ratio (TTM, GAAP)",6.76,0.46,Valuation,14.695652173913043
Gross Profit Margin (TTM),0.6748000000000001,0.6774,Profitability,0.9961617950989077
Operating Profit Margin (TTM),0.2328,-0.8243,Profitability,-0.28242144850175904
Net Profit Margin (TTM),0.1995,-0.8643000000000001,Profitability,-0.23082263103089204
Annual Dividend Yield,0.0255,0.0217,Dividend,1.1751152073732718
Dividend Change %,0.05280000000000001,0.0947,Dividend,0.5575501583949314
"Dividend Growth Rate, 3 Years",0.057800000000000004,0.08410000000000001,Dividend,0.6872770511296076
EPS Growth (MRQ),-0.0717,0.0882,Gowth rates,-0.8129251700680272
EPS Growth (TTM),0.0736,0.5872999999999999,Gowth rates,0.1253192576196152
Revenue Growth (MRQ),-0.0095,0.0441,Gowth rates,-0.21541950113378683
Revenue Growth (TTM),0.050199999999999995,0.17600000000000002,Gowth rates,0.28522727272727266
Return On Equity (TTM),0.2645,0.3019,Effectiveness,0.876117919841007
Return On Assets (TTM),0.1081,0.09210000000000002,Effectiveness,1.1737242128121606
Return On Investment (TTM),0.145,0.1384,Effectiveness,1.0476878612716762
Revenue Per Employee (TTM),677777.0,1426391.0,Effectiveness,0.47516915067467475
Total Debt/Total Capital (MRQ),0.3004,0.4169,Financial strength,0.7205564883665148
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0,Financial strength,-inf
Quick Ratio (MRQ),1.18,1.22,Financial strength,0.9672131147540983
Interest Coverage (MRQ),67.78,26.1,Financial strength,2.596934865900383
