,JNJ
% Below High,0.0506
% Held by Institutions,0.6787000000000001
52-Wk Range,['155.72 - 186.69']
Annual Dividend $,4.52
Annual Dividend %,0.0255
Ask,177.24
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,0.6
Bid,177.04
Bid Size,400.0
Closing Price,177.24
Day Change $,0.23
Day Change %,0.0013
Day High,178.12
Day Low,176.86
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",7.18
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.18
Last (size),99.0
Last (time),5:00p ET 11/25/22
Market Cap,463.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.68
Prev Close,177.01
Short Interest,0.0048
Today's Open,177.38
Volume,3058608.0
Volume 10-day Avg,6388169.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.034055727554179516
Growth 1yr High Est,0.02851323828920571
Growth 1yr Consensus Est,0.03128448292169261
Growth 2yr Low Est,-0.009419242011333373
Growth 2yr High Est,0.0637615696396524
Growth 2yr Consensus Est,0.027171163814159516
Growth 5yr Low Est,0.030764276174708005
Growth 5yr High Est,0.06675706982514348
Growth 5yr Consensus Est,0.048760672999925744
Growth 5yr Actual/Est,0.05072240491975977
Growth 3yr Historic,0.036384654894376534
Price/Earnings (TTM),24.67541
Price/Sales (TTM),4.82493
Price/Book (MRQ),6.21746
Price/Cash Flow (TTM),17.68803
5yr Low,109.16
5yr High,186.69
5yr Avg Return,0.04451666666666666
EPS Growth 5yr,0.0565378
Revenue Growth 5yr,0.0545902
Dividend Growth 5yr,0.058719
Short Int Current Month,12663666.0
Short Int Prev Month,12348035.0
Short Int Pct of Float,0.0048492000000000006
Days to Cover,1.81408
Float,2612.042
Shares Outstanding,2614.484
Institutions Holding Shares,4492.0
FCF Growth 5yr,0.4096399899391119
"Price/Earnings (TTM, GAAP)",24.68
"PEG Ratio (TTM, GAAP)",6.76
Gross Profit Margin (TTM),0.6748000000000001
Operating Profit Margin (TTM),0.2328
Net Profit Margin (TTM),0.1995
Annual Dividend Yield,0.0255
Dividend Change %,0.05280000000000001
"Dividend Growth Rate, 3 Years",0.057800000000000004
EPS Growth (MRQ),-0.0717
EPS Growth (TTM),0.0736
Revenue Growth (MRQ),-0.0095
Revenue Growth (TTM),0.050199999999999995
Return On Equity (TTM),0.2645
Return On Assets (TTM),0.1081
Return On Investment (TTM),0.145
Revenue Per Employee (TTM),677777.0
Total Debt/Total Capital (MRQ),0.3004
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.18
Interest Coverage (MRQ),67.78
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2018-05-21 00:00:00
researchTeam since,2021-06-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-19 00:00:00
ford since,2021-03-05 00:00:00
marketEdge opinion since,
