,AN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.92,19.03,Valuation,0.2585391487125591
Price/Sales (TTM),0.22,1.93,Valuation,0.11398963730569948
Price/Book (MRQ),2.79,92.12,Valuation,0.03028658271819366
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.1974,0.34390000000000004,Profitability,0.5740040709508577
Operating Profit Margin (TTM),0.0793,0.11789999999999999,Profitability,0.6726039016115352
Net Profit Margin (TTM),0.055,0.0818,Profitability,0.6723716381418093
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-0.0263,-0.10800000000000001,Gowth rates,0.2435185185185185
EPS Growth (TTM),0.6845,0.0262,Gowth rates,26.12595419847328
Revenue Growth (MRQ),-0.0296,0.0478,Gowth rates,-0.6192468619246861
Revenue Growth (TTM),0.0728,0.0874,Gowth rates,0.8329519450800915
Return On Equity (TTM),0.6412000000000001,5.2054,Effectiveness,0.12317977484919508
Return On Assets (TTM),0.1684,0.1562,Effectiveness,1.0781049935979512
Return On Investment (TTM),0.2425,0.26,Effectiveness,0.9326923076923076
Revenue Per Employee (TTM),1210374.0,410011.0,Effectiveness,2.952052505908378
Total Debt/Total Capital (MRQ),0.6112,0.8926999999999999,Financial strength,0.6846645009521676
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002,0.0016,Financial strength,0.8750000000000001
Quick Ratio (MRQ),0.42,0.39,Financial strength,1.0769230769230769
Interest Coverage (MRQ),11.77,13.36,Financial strength,0.8809880239520959
