,DSGN
% Above Low,0.5328
% Held by Institutions,0.7042
52-Wk Range,['9.61 - 26.30']
Annual Dividend $,
Annual Dividend %,
Ask,16.3
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,14.2
Bid Size,100.0
Closing Price,14.73
Day Change $,0.35
Day Change %,0.024300000000000002
Day High,15.02
Day Low,14.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.03
Ex-dividend Date,No dividend
Historical Volatility,0.8240000000000001
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,823.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,14.38
Short Interest,0.1433
Today's Open,14.4
Volume,72459.0
Volume 10-day Avg,310665.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.38372093023255816
Growth 1yr High Est,0.527027027027027
Growth 1yr Consensus Est,0.45537397862979256
Growth 2yr Low Est,0.3809360953683799
Growth 2yr High Est,0.36970820377900027
Growth 2yr Consensus Est,0.3753221495736901
Growth 5yr Low Est,0.3809360953683799
Growth 5yr High Est,0.36970820377900027
Growth 5yr Consensus Est,0.3753221495736901
Growth 5yr Actual/Est,0.4007659007659008
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.41256
Price/Cash Flow (TTM),
5yr Low,9.61
5yr High,50.5
5yr Avg Return,-0.27595
Short Int Current Month,5068739.0
Short Int Prev Month,5159353.0
Short Int Pct of Float,0.1433499
Days to Cover,16.4807
Float,35.35921
Shares Outstanding,55.91007
Institutions Holding Shares,122.0
FCF Growth 5yr,0.30502168661006457
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.17800000000000002
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.1557
Return On Assets (TTM),-0.15109999999999998
Return On Investment (TTM),-0.1544
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-09-23 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
