,CB
% Below High,0.0126
% Held by Institutions,0.8712000000000001
52-Wk Range,['173.78 - 218.99']
Annual Dividend $,3.32
Annual Dividend %,0.0154
Ask,230.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,202.0
Bid Size,100.0
Closing Price,216.23
Day Change $,2.08
Day Change %,0.0097
Day High,216.59
Day Low,214.66
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",14.33
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.242
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,89.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.09
Prev Close,214.15
Short Interest,0.0046
Today's Open,215.0
Volume,639352.0
Volume 10-day Avg,1436028.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.34080717488789225
Growth 1yr High Est,0.2639553429027113
Growth 1yr Consensus Est,0.30238125889530176
Growth 2yr Low Est,0.20217616269478234
Growth 2yr High Est,0.26541615725577206
Growth 2yr Consensus Est,0.2337961599752772
Growth 5yr Low Est,0.13698551724482705
Growth 5yr High Est,0.1790218782498142
Growth 5yr Consensus Est,0.15800369774732062
Growth 5yr Actual/Est,0.21090536508277066
Growth 3yr Historic,0.11031018576777205
Price/Earnings (TTM),15.08965
Price/Sales (TTM),2.12553
Price/Book (MRQ),1.88375
Price/Cash Flow (TTM),13.97047
5yr Low,87.35
5yr High,218.99
5yr Avg Return,0.07511666666666666
EPS Growth 5yr,0.1677092
Revenue Growth 5yr,0.053459700000000006
Dividend Growth 5yr,0.030442200000000003
Short Int Current Month,1914256.0
Short Int Prev Month,2126090.0
Short Int Pct of Float,0.0046369
Days to Cover,0.98758
Float,413.1759
Shares Outstanding,415.0503
Institutions Holding Shares,1785.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",15.09
"PEG Ratio (TTM, GAAP)",0.92
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.18059999999999998
Net Profit Margin (TTM),0.14550000000000002
Annual Dividend Yield,0.0154
Dividend Change %,0.0327
"Dividend Growth Rate, 3 Years",0.031400000000000004
EPS Growth (MRQ),-0.3224
EPS Growth (TTM),-0.2707
Revenue Growth (MRQ),0.2202
Revenue Growth (TTM),0.047
Return On Equity (TTM),0.11480000000000001
Return On Assets (TTM),0.0309
Return On Investment (TTM),
Revenue Per Employee (TTM),1362032.0
Total Debt/Total Capital (MRQ),0.2494
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.77
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-18 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-10-30 00:00:00
