,CEVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.56,Valuation,
Price/Sales (TTM),4.7,7.41,Valuation,0.6342780026990553
Price/Book (MRQ),2.52,13.13,Valuation,0.19192688499619193
"PEG Ratio (TTM, GAAP)",,0.9,Valuation,
Gross Profit Margin (TTM),0.7997,0.5489,Profitability,1.4569138276553104
Operating Profit Margin (TTM),-0.0169,0.25739999999999996,Profitability,-0.06565656565656566
Net Profit Margin (TTM),-0.157,0.2224,Profitability,-0.7059352517985612
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),-18.8702,1.5356,Gowth rates,-12.28848658504819
EPS Growth (TTM),-6.3782000000000005,0.2274,Gowth rates,-28.04837291116975
Revenue Growth (MRQ),0.013999999999999999,0.1335,Gowth rates,0.10486891385767788
Revenue Growth (TTM),0.1585,0.24170000000000003,Gowth rates,0.6557716177079023
Return On Equity (TTM),-0.08140000000000001,0.36920000000000003,Effectiveness,-0.22047670639219938
Return On Assets (TTM),-0.0694,0.16010000000000002,Effectiveness,-0.4334790755777639
Return On Investment (TTM),-0.0767,0.1925,Effectiveness,-0.39844155844155843
Revenue Per Employee (TTM),284250.0,898550.0,Effectiveness,0.3163429970508041
Total Debt/Total Capital (MRQ),0.0,0.3576,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,2.24,Financial strength,
Interest Coverage (MRQ),-1.37,15.8,Financial strength,-0.08670886075949367
