,USPH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.45,29.13,Valuation,0.9766563680054926
Price/Sales (TTM),2.04,1.32,Valuation,1.5454545454545454
Price/Book (MRQ),3.49,4.31,Valuation,0.8097447795823667
"PEG Ratio (TTM, GAAP)",2.85,0.26,Valuation,10.961538461538462
Gross Profit Margin (TTM),0.2056,0.1318,Profitability,1.559939301972686
Operating Profit Margin (TTM),0.12630000000000002,0.0458,Profitability,2.75764192139738
Net Profit Margin (TTM),0.10060000000000001,0.0242,Profitability,4.15702479338843
Annual Dividend Yield,0.0193,0.0108,Dividend,1.787037037037037
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",-0.0617,0.3483,Dividend,-0.17714613838644847
EPS Growth (MRQ),-0.1661,-0.1478,Gowth rates,1.1238159675236807
EPS Growth (TTM),0.2626,-1.101,Gowth rates,-0.23851044504995458
Revenue Growth (MRQ),-0.0075,0.0931,Gowth rates,-0.08055853920515574
Revenue Growth (TTM),0.1225,0.1191,Gowth rates,1.0285474391267841
Return On Equity (TTM),0.1278,7.2022,Effectiveness,0.017744578045597176
Return On Assets (TTM),0.0762,0.0403,Effectiveness,1.8908188585607941
Return On Investment (TTM),0.1115,0.016,Effectiveness,6.96875
Revenue Per Employee (TTM),180598.0,1375304.0,Effectiveness,0.13131496745446825
Total Debt/Total Capital (MRQ),0.2483,0.4855,Financial strength,0.5114315139031926
Change in Debt/Total Capital Quarter over Quarter,0.023799999999999998,0.0015,Financial strength,15.866666666666665
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),9.06,9.55,Financial strength,0.9486910994764398
