,CMP
% Above Low,0.38380000000000003
% Held by Institutions,0.9347
52-Wk Range,['30.67 - 67.67']
Annual Dividend $,0.6
Annual Dividend %,0.0141
Ask,49.75
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.3
Bid,37.56
Bid Size,1000.0
Closing Price,42.44
Day Change $,-0.06
Day Change %,-0.0014000000000000002
Day High,42.46
Day Low,41.82
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",-1.08
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.504
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,42.5
Short Interest,0.024399999999999998
Today's Open,42.0
Volume,139109.0
Volume 10-day Avg,317478.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,11.777777777777777
Growth 2yr High Est,2.2758620689655173
Growth 2yr Consensus Est,7.026819923371647
Growth 5yr Low Est,11.777777777777777
Growth 5yr High Est,2.2758620689655173
Growth 5yr Consensus Est,7.026819923371647
Growth 5yr Actual/Est,0.6646029276447492
Growth 3yr Historic,-0.2167530045586407
Price/Earnings (TTM),
Price/Sales (TTM),1.44239
Price/Book (MRQ),4.81818
Price/Cash Flow (TTM),24.16798
5yr Low,30.67
5yr High,76.65
5yr Avg Return,-0.03743333333333334
Short Int Current Month,994385.0
Short Int Prev Month,1467099.0
Short Int Pct of Float,0.024418099999999998
Days to Cover,2.91595
Float,40.73054
Shares Outstanding,41.00128
Institutions Holding Shares,345.0
FCF Growth 5yr,-2.030379079574624
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1587
Operating Profit Margin (TTM),0.0323
Net Profit Margin (TTM),-0.0301
Annual Dividend Yield,0.0141
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6282
EPS Growth (TTM),-1.9950999999999999
Revenue Growth (MRQ),-0.5213
Revenue Growth (TTM),0.2569
Return On Equity (TTM),-0.151
Return On Assets (TTM),-0.020499999999999997
Return On Investment (TTM),-0.0248
Revenue Per Employee (TTM),542690.0
Total Debt/Total Capital (MRQ),0.7465
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),-0.7
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-20 00:00:00
ford since,2022-08-12 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-19 00:00:00
