,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,60.52,58.18,71.38,71.86,,,,,
low,40.44,21.95,51.33,42.91,,,,,
change,0.0375,0.0049,0.0161,-0.0986,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,2988.0,3143.0,2367.0,2216.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,6895.0,7638.0,7686.0,6619.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-54.0,-215.0,-212.0,-212.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,6920.0,7523.0,7612.0,6548.0,Balance Sheet
Other Receivables,,,,,2713.0,2536.0,2243.0,2123.0,Balance Sheet
"Total Receivables, Net",,,,,9633.0,10059.0,9855.0,8671.0,Balance Sheet
Invent. - Finished Goods,,,,,4554.0,4755.0,5174.0,4745.0,Balance Sheet
Invent. - Work In Progress,,,,,1615.0,1857.0,1994.0,1626.0,Balance Sheet
Invent. - Raw Materials,,,,,1688.0,1787.0,1895.0,1890.0,Balance Sheet
LIFO Reserve,,,,,-485.0,-639.0,-838.0,-690.0,Balance Sheet
Total Inventory,,,,,7372.0,7760.0,8225.0,7571.0,Balance Sheet
"Other Curr. Assets, Total",,,,,855.0,1203.0,1322.0,1319.0,Balance Sheet
Total Current Assets,,,,,20848.0,22165.0,21769.0,19777.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,57604.0,57707.0,57180.0,56931.0,Balance Sheet
Accumulated Depreciation,,,,,-37049.0,-37360.0,-37020.0,-36899.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,21967.0,21686.0,21432.0,21263.0,Balance Sheet
"Goodwill, Net",,,,,8764.0,8716.0,8605.0,8524.0,Balance Sheet
Intangibles - Gross,,,,,7606.0,7551.0,7449.0,7371.0,Balance Sheet
Accum. Intangible Amort.,,,,,-4725.0,-4790.0,-4833.0,-4888.0,Balance Sheet
Intangibles - Net,,,,,2881.0,2761.0,2616.0,2483.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,2045.0,1821.0,1862.0,1785.0,Balance Sheet
LT Investments - Other,,,,,3193.0,3067.0,2782.0,2732.0,Balance Sheet
Long Term Investments,,,,,5238.0,4888.0,4644.0,4517.0,Balance Sheet
Note Rcvble - Long Term,,,,,504.0,478.0,562.0,518.0,Balance Sheet
Deferred Charges,,,,,1430.0,1481.0,1397.0,1339.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,1358.0,1160.0,1118.0,1136.0,Balance Sheet
Total Assets,,,,,62990.0,63335.0,62143.0,59557.0,Balance Sheet
Accounts Payable,,,,,5577.0,5769.0,5693.0,5008.0,Balance Sheet
Accrued Expenses,,,,,3586.0,3358.0,3415.0,3265.0,Balance Sheet
Notes Payable/ST Debt,,,,,161.0,92.0,295.0,185.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,231.0,355.0,361.0,364.0,Balance Sheet
Customer Advances,,,,,209.0,181.0,259.0,315.0,Balance Sheet
Income Taxes Payable,,,,,623.0,527.0,462.0,579.0,Balance Sheet
Other Payables,,,,,2839.0,2772.0,2824.0,2599.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,3671.0,3480.0,3545.0,3493.0,Balance Sheet
Total Current Liabilities,,,,,13226.0,13054.0,13309.0,12315.0,Balance Sheet
Long Term Debt,,,,,13517.0,13356.0,12346.0,12227.0,Balance Sheet
Capital Lease Obligations,,,,,763.0,752.0,719.0,694.0,Balance Sheet
Total Long Term Debt,,,,,14280.0,14108.0,13065.0,12921.0,Balance Sheet
Total Debt,,,,,14672.0,14555.0,13721.0,13470.0,Balance Sheet
Deferred Income Tax,,,,,506.0,654.0,752.0,716.0,Balance Sheet
Minority Interest,,,,,574.0,545.0,534.0,512.0,Balance Sheet
Pension Benefits - Underfunded,,,,,7557.0,7320.0,6934.0,6541.0,Balance Sheet
Other LT Liabilities,,,,,8682.0,8774.0,8576.0,8435.0,Balance Sheet
"Other Liabilities, Total",,,,,16239.0,16094.0,15510.0,14976.0,Balance Sheet
Total Liabilities,,,,,44825.0,44455.0,43170.0,41440.0,Balance Sheet
Common Stock,,,,,8.0,8.0,8.0,8.0,Balance Sheet
Additional Paid-In Capital,,,,,8151.0,8217.0,8343.0,8396.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,20623.0,21672.0,22827.0,23068.0,Balance Sheet
Treasury Stock - Common,,,,,-1625.0,-2221.0,-3001.0,-3773.0,Balance Sheet
ESOP Debt Guarantee,,,,,-15.0,0.0,0.0,0.0,Balance Sheet
Unrealized Gain (Loss),,,,,59.0,-37.0,-190.0,-312.0,Balance Sheet
Cum. Trans. Adjustment,,,,,-1355.0,-1519.0,-2033.0,-2436.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,-7334.0,-7225.0,-7103.0,-6978.0,Balance Sheet
Other Comprehensive Income,,,,,-347.0,-15.0,122.0,144.0,Balance Sheet
"Other Equity, Total",,,,,-9036.0,-8759.0,-9014.0,-9270.0,Balance Sheet
Total Equity,,,,,18165.0,18880.0,18973.0,18117.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,62990.0,63335.0,62143.0,59557.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,735.0,728.0,718.0,704.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,29.0,39.0,50.0,65.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,14364.0,15264.0,15664.0,14115.0,Income Statement
"Cost of Revenue, Total",,,,,11778.0,12402.0,12899.0,12381.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,436.0,498.0,435.0,356.0,Income Statement
Research & Development,,,,,225.0,218.0,217.0,191.0,Income Statement
Depreciation/Amortization,,,,,87.0,88.0,85.0,83.0,Income Statement
Restructuring Charge,,,,,-16.0,186.0,0.0,0.0,Income Statement
Litigation,,,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,,-51.0,-12.0,16.0,7.0,Income Statement
Unusual Expense (Income),,,,,-67.0,174.0,16.0,7.0,Income Statement
Total Operating Expense,,,,,12459.0,13380.0,13652.0,13018.0,Income Statement
Total Operating Income,,,,,1905.0,1884.0,2012.0,1097.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-170.0,-167.0,-165.0,-155.0,Income Statement
"Inter Income, Non-Operating",,,,,20.0,28.0,36.0,41.0,Income Statement
"Invest Income, Non-Operat",,,,,237.0,176.0,178.0,-89.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,257.0,204.0,214.0,-48.0,Income Statement
Gain(Loss)on Sale of Assets,,,,,31.0,31.0,12.0,10.0,Income Statement
"Other, Net",,,,,95.0,103.0,96.0,97.0,Income Statement
Income Before Tax,,,,,2118.0,2055.0,2169.0,1001.0,Income Statement
