,DOW
% Above Low,0.2016
% Held by Institutions,0.6225
52-Wk Range,['42.91 - 71.86']
Annual Dividend $,2.8
Annual Dividend %,0.054299999999999994
Ask,51.97
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,48.0
Bid Size,200.0
Closing Price,51.56
Day Change $,0.01
Day Change %,0.0002
Day High,51.82
Day Low,51.42
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",7.72
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.306
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,36.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.68
Prev Close,51.55
Short Interest,0.013999999999999999
Today's Open,51.5
Volume,1648145.0
Volume 10-day Avg,4765180.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.24940334128878283
Growth 1yr High Est,-0.21052631578947356
Growth 1yr Consensus Est,-0.2299648285391282
Growth 2yr Low Est,-0.34648227477793675
Growth 2yr High Est,-0.10526315789473678
Growth 2yr Consensus Est,-0.22587271633633677
Growth 5yr Low Est,0.20778295899657387
Growth 5yr High Est,0.33070175438596494
Growth 5yr Consensus Est,0.2692423566912694
Growth 5yr Actual/Est,0.821056552201736
Growth 3yr Historic,0.9713208133393173
Price/Earnings (TTM),6.68278
Price/Sales (TTM),0.6108
Price/Book (MRQ),2.00286
Price/Cash Flow (TTM),4.2624
5yr Low,21.95
5yr High,71.86
5yr Avg Return,-0.010024999999999997
EPS Growth 5yr,0.0778138
Revenue Growth 5yr,0.0268058
Dividend Growth 5yr,
Short Int Current Month,9833155.0
Short Int Prev Month,10079024.0
Short Int Pct of Float,0.013996
Days to Cover,1.5646
Float,702.7852
Shares Outstanding,703.7593
Institutions Holding Shares,1775.0
FCF Growth 5yr,0.30224606475293414
"Price/Earnings (TTM, GAAP)",6.68
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1674
Operating Profit Margin (TTM),0.1161
Net Profit Margin (TTM),0.0969
Annual Dividend Yield,0.0543
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5468000000000001
EPS Growth (TTM),0.0011
Revenue Growth (MRQ),-0.0989
Revenue Growth (TTM),0.1578
Return On Equity (TTM),0.3285
Return On Assets (TTM),0.0949
Return On Investment (TTM),0.121
Revenue Per Employee (TTM),1664062.0
Total Debt/Total Capital (MRQ),0.41960000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.99
Interest Coverage (MRQ),5.8
researchTeam,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2022-07-22 00:00:00
cfra since,2022-07-22 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-21 00:00:00
theStreet since,
