,CI
% Below High,0.0216
% Held by Institutions,0.8865000000000001
52-Wk Range,['191.74 - 331.05']
Annual Dividend $,4.48
Annual Dividend %,0.0138
Ask,353.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,290.0
Bid Size,200.0
Closing Price,323.9
Day Change $,4.06
Day Change %,0.0127
Day High,324.11
Day Low,319.95
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",20.93
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.27
Last (size),31.0
Last (time),5:00p ET 11/25/22
Market Cap,99.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.47
Prev Close,319.84
Short Interest,0.0102
Today's Open,322.07
Volume,921442.0
Volume 10-day Avg,2041367.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.1351351351351351
Growth 1yr High Est,0.1185789726356219
Growth 1yr Consensus Est,0.1268570538853785
Growth 2yr Low Est,0.09787059787059782
Growth 2yr High Est,0.11401051636072945
Growth 2yr Consensus Est,0.10594055711566364
Growth 5yr Low Est,0.09826132549624733
Growth 5yr High Est,0.11047688850356746
Growth 5yr Consensus Est,0.1043691069999074
Growth 5yr Actual/Est,0.09867091405628597
Growth 3yr Historic,0.04789913295027376
Price/Earnings (TTM),15.47391
Price/Sales (TTM),0.55008
Price/Book (MRQ),2.19476
Price/Cash Flow (TTM),10.28764
5yr Low,118.5
5yr High,331.05
5yr Avg Return,0.0924
EPS Growth 5yr,0.1695521
Revenue Growth 5yr,0.3442556
Dividend Growth 5yr,1.511886
Short Int Current Month,3082076.0
Short Int Prev Month,3596775.0
Short Int Pct of Float,0.0102446
Days to Cover,1.36317
Float,300.92
Shares Outstanding,305.739
Institutions Holding Shares,1932.0
FCF Growth 5yr,0.3076645165554501
"Price/Earnings (TTM, GAAP)",15.47
"PEG Ratio (TTM, GAAP)",1.36
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.053
Net Profit Margin (TTM),0.0371
Annual Dividend Yield,0.0138
Dividend Change %,99.0
"Dividend Growth Rate, 3 Years",3.6416000000000004
EPS Growth (MRQ),0.8305
EPS Growth (TTM),-0.1207
Revenue Growth (MRQ),-0.0040999999999999995
Revenue Growth (TTM),0.0565
Return On Equity (TTM),0.1431
Return On Assets (TTM),0.044800000000000006
Return On Investment (TTM),
Revenue Per Employee (TTM),2442687.0
Total Debt/Total Capital (MRQ),0.4117
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.86
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2021-08-06 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2010-08-10 00:00:00
