,VTYX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.92,Valuation,
Price/Sales (TTM),,18.11,Valuation,
Price/Book (MRQ),4.06,11.51,Valuation,0.35273675065160726
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6773,Profitability,
Operating Profit Margin (TTM),,-0.8239000000000001,Profitability,
Net Profit Margin (TTM),,-0.8640000000000001,Profitability,
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),-0.4976,0.0883,Gowth rates,-5.63533408833522
EPS Growth (TTM),-0.037000000000000005,0.5870000000000001,Gowth rates,-0.06303236797274275
Revenue Growth (MRQ),,0.0441,Gowth rates,
Revenue Growth (TTM),,0.1761,Gowth rates,
Return On Equity (TTM),-0.6149,0.30160000000000003,Effectiveness,-2.038793103448276
Return On Assets (TTM),-0.3197,0.092,Effectiveness,-3.475
Return On Investment (TTM),-0.34880000000000005,0.13820000000000002,Effectiveness,-2.523878437047757
Revenue Per Employee (TTM),0.0,1425813.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.08,Financial strength,
