,VTYX
% Below High,0.35090000000000005
% Held by Institutions,0.9601999999999999
52-Wk Range,['9.50 - 41.29']
Annual Dividend $,
Annual Dividend %,
Ask,26.8
Ask Size,600.0
B/A Ratio,1.8333333333333333
B/A Size,1100x600
Beta,
Bid,26.76
Bid Size,1100.0
Closing Price,26.8
Day Change $,-0.7
Day Change %,-0.0255
Day High,28.18
Day Low,26.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.79
Ex-dividend Date,No dividend
Historical Volatility,1.051
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,27.5
Short Interest,0.06570000000000001
Today's Open,27.35
Volume,537432.0
Volume 10-day Avg,395541.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.5070422535211268
Growth 2yr High Est,-0.09625668449197866
Growth 2yr Consensus Est,0.20539278451457404
Growth 5yr Low Est,0.5070422535211268
Growth 5yr High Est,-0.09625668449197866
Growth 5yr Consensus Est,0.20539278451457404
Growth 5yr Actual/Est,-0.24122438449063832
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),4.06028
Price/Cash Flow (TTM),
5yr Low,9.5
5yr High,41.29
5yr Avg Return,0.19515000000000002
Short Int Current Month,3223160.0
Short Int Prev Month,3716055.0
Short Int Pct of Float,0.06572320000000001
Days to Cover,6.77772
Float,54.22233
Shares Outstanding,56.63746
Institutions Holding Shares,131.0
FCF Growth 5yr,0.4540958636335562
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4976
EPS Growth (TTM),-0.037000000000000005
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.6149
Return On Assets (TTM),-0.3197
Return On Investment (TTM),-0.34880000000000005
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2021-12-31 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
