,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,26.0,41.29,,,,,
low,13.95,9.5,,,,,
change,0.0649,0.3254,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,70791.0,41690.0,45343.0,263270.0,Balance Sheet
Short Term Investments,,,187785.0,212656.0,205109.0,149153.0,Balance Sheet
Cash and Short Term Invs,,,258576.0,254346.0,250452.0,412423.0,Balance Sheet
Prepaid Expenses,,,4444.0,3159.0,1741.0,5967.0,Balance Sheet
Total Current Assets,,,263020.0,257505.0,252193.0,418390.0,Balance Sheet
Machinery/Equipment,,,46.0,70.0,,,Balance Sheet
Other Prop./Plant/Equip.,,,232.0,1559.0,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,278.0,1629.0,,,Balance Sheet
Accumulated Depreciation,,,-24.0,-42.0,,,Balance Sheet
Prop./Plant/Equip. - Net,,,254.0,1587.0,2020.0,1983.0,Balance Sheet
Long Term Investments,,,28148.0,18801.0,7900.0,0.0,Balance Sheet
Other Long Term Assets,,,60.0,60.0,72.0,72.0,Balance Sheet
Total Assets,,,291482.0,277953.0,262185.0,420445.0,Balance Sheet
Accounts Payable,,,4661.0,7114.0,5805.0,18582.0,Balance Sheet
Accrued Expenses,,,7622.0,10677.0,11869.0,17079.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,12283.0,17791.0,17674.0,35661.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,0.0,1039.0,1359.0,1251.0,Balance Sheet
Total Liabilities,,,12283.0,18830.0,19033.0,36912.0,Balance Sheet
Common Stock,,,5.0,5.0,5.0,6.0,Balance Sheet
Additional Paid-In Capital,,,397051.0,400607.0,404987.0,575850.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-117799.0,-140531.0,-160549.0,-191011.0,Balance Sheet
"Other Equity, Total",,,-58.0,-958.0,-1291.0,-1312.0,Balance Sheet
Total Equity,,,279199.0,259123.0,243152.0,383533.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,291482.0,277953.0,262185.0,420445.0,Balance Sheet
Ttl Comm. Shares Outs.,,,50409.0,50730.0,50899.0,56627.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,118.0,95.0,61.0,53.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,0.0,0.0,0.0,0.0,Income Statement
