,SRI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,35.21,Valuation,
Price/Sales (TTM),0.77,3.92,Valuation,0.19642857142857142
Price/Book (MRQ),2.54,4.78,Valuation,0.5313807531380753
"PEG Ratio (TTM, GAAP)",,11.27,Valuation,
Gross Profit Margin (TTM),0.19640000000000002,0.13140000000000002,Profitability,1.4946727549467276
Operating Profit Margin (TTM),-0.0085,-0.2583,Profitability,0.03290747193186218
Net Profit Margin (TTM),-0.0234,-0.20260000000000003,Profitability,0.1154985192497532
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.3011,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0053,Dividend,
EPS Growth (MRQ),1.0987,1.995,Gowth rates,0.5507268170426065
EPS Growth (TTM),-2.5737,-0.031200000000000002,Gowth rates,82.49038461538461
Revenue Growth (MRQ),0.0263,0.269,Gowth rates,0.09776951672862454
Revenue Growth (TTM),0.1531,0.1174,Gowth rates,1.3040885860306644
Return On Equity (TTM),-0.0728,0.08130000000000001,Effectiveness,-0.8954489544895449
Return On Assets (TTM),-0.0325,0.0258,Effectiveness,-1.2596899224806202
Return On Investment (TTM),-0.0447,0.0425,Effectiveness,-1.0517647058823527
Revenue Per Employee (TTM),174481.0,214262.0,Effectiveness,0.8143347863830264
Total Debt/Total Capital (MRQ),0.3895,0.38280000000000003,Financial strength,1.0175026123301985
Change in Debt/Total Capital Quarter over Quarter,0.0027,0.2187,Financial strength,0.01234567901234568
Quick Ratio (MRQ),1.39,1.64,Financial strength,0.8475609756097561
Interest Coverage (MRQ),3.38,46.02,Financial strength,0.07344632768361581
