,SRI
% Below High,0.08349999999999999
% Held by Institutions,1.0171999999999999
52-Wk Range,['13.64 - 25.87']
Annual Dividend $,
Annual Dividend %,
Ask,23.76
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,23.66
Bid Size,200.0
Day Change $,-0.8
Day Change %,-0.0326
Day High,24.52
Day Low,23.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.75
Ex-dividend Date,No dividend
Historical Volatility,0.537
Last (size),100.0
Last (time),3:15p ET 11/28/22
Market Cap,647.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,24.51
Price,23.71
Short Interest,0.014499999999999999
Today's Open,24.52
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.44999999999999996
Growth 1yr High Est,-0.4
Growth 1yr Consensus Est,-0.425
Growth 2yr Low Est,-1.5583333333333336
Growth 2yr High Est,-1.5333333333333334
Growth 2yr Consensus Est,-1.5458333333333334
Growth 5yr Low Est,-1.1291666666666667
Growth 5yr High Est,-1.1031446540880503
Growth 5yr Consensus Est,-1.1161556603773586
Growth 5yr Actual/Est,3.63472846765825
Growth 3yr Historic,4.411564625850341
Price/Earnings (TTM),
Price/Sales (TTM),0.76773
Price/Book (MRQ),2.53549
Price/Cash Flow (TTM),45.26723
5yr Low,13.64
5yr High,38.2
5yr Avg Return,0.020466666666666668
EPS Growth 5yr,-0.4612175
Revenue Growth 5yr,0.0205429
Dividend Growth 5yr,
Short Int Current Month,377969.0
Short Int Prev Month,713846.0
Short Int Pct of Float,0.0145276
Days to Cover,1.81713
Float,26.09568
Shares Outstanding,27.32656
Institutions Holding Shares,159.0
FCF Growth 5yr,0.023451873636135507
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.19640000000000002
Operating Profit Margin (TTM),-0.0085
Net Profit Margin (TTM),-0.0234
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0987
EPS Growth (TTM),-2.5737
Revenue Growth (MRQ),0.0263
Revenue Growth (TTM),0.1531
Return On Equity (TTM),-0.0728
Return On Assets (TTM),-0.0325
Return On Investment (TTM),-0.0447
Revenue Per Employee (TTM),174481.0
Total Debt/Total Capital (MRQ),0.3895
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),1.39
Interest Coverage (MRQ),3.38
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-16 00:00:00
theStreet since,2022-11-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
marketEdge opinion since,
