,OLLI
% Below High,0.1677
% Held by Institutions,1.0843
52-Wk Range,['37.67 - 72.27']
Annual Dividend $,
Annual Dividend %,
Ask,60.25
Ask Size,100.0
Ask close,63.73
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,56.0
Bid Size,100.0
Bid close,56.6
Change Since Close,0.10| |(0.17%)
Closing Price,60.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.49
Ex-dividend Date,No dividend
Historical Volatility,0.5910000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,60.25
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",40.35
Prev Close,60.15
Short Interest,0.1417
Today's Open,
Volume,1.0
Volume 10-day Avg,1108131.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.27192982456140347
Growth 1yr High Est,-0.2622950819672131
Growth 1yr Consensus Est,-0.26711245326430827
Growth 2yr Low Est,0.04174593109279223
Growth 2yr High Est,0.19940801457194907
Growth 2yr Consensus Est,0.12057697283237065
Growth 5yr Low Est,0.10083133371807948
Growth 5yr High Est,0.18459548638565298
Growth 5yr Consensus Est,0.14271341005186622
Growth 5yr Actual/Est,0.16257439957902767
Growth 3yr Historic,0.08977008524928956
Price/Earnings (TTM),40.35125
Price/Sales (TTM),2.15899
Price/Book (MRQ),2.86945
Price/Cash Flow (TTM),26.43217
5yr Low,28.83
5yr High,123.52
5yr Avg Return,0.07106666666666667
EPS Growth 5yr,0.2044293
Revenue Growth 5yr,0.1451105
Dividend Growth 5yr,
Short Int Current Month,8292083.0
Short Int Prev Month,7760590.0
Short Int Pct of Float,0.1417359
Days to Cover,8.05765
Float,58.50425
Shares Outstanding,62.58997
Institutions Holding Shares,407.0
FCF Growth 5yr,-2.33169955596529
"Price/Earnings (TTM, GAAP)",40.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35590000000000005
Operating Profit Margin (TTM),0.0696
Net Profit Margin (TTM),0.0542
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1292
EPS Growth (TTM),-0.5061
Revenue Growth (MRQ),0.1127
Revenue Growth (TTM),-0.0304
Return On Equity (TTM),0.0697
Return On Assets (TTM),0.0468
Return On Investment (TTM),0.0534
Revenue Per Employee (TTM),371015.0
Total Debt/Total Capital (MRQ),0.0011
Change in Debt/Total Capital Quarter over Quarter,0.0061
Quick Ratio (MRQ),0.91
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-26 00:00:00
theStreet since,2021-09-28 00:00:00
ford since,2022-08-26 00:00:00
cfra since,
marketEdge opinion since,
