,RNST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.68,11.43,Valuation,1.284339457567804
Price/Sales (TTM),3.77,3.3,Valuation,1.1424242424242426
Price/Book (MRQ),1.1,1.46,Valuation,0.7534246575342467
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.3297,0.34240000000000004,Profitability,0.9629088785046728
Net Profit Margin (TTM),0.25780000000000003,0.2812,Profitability,0.9167852062588906
Annual Dividend Yield,0.0215,0.028700000000000003,Dividend,0.749128919860627
Dividend Change %,0.0,-0.0086,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0323,0.0734,Dividend,0.44005449591280654
EPS Growth (MRQ),0.1723,-0.0335,Gowth rates,-5.143283582089552
EPS Growth (TTM),-0.0734,-0.09960000000000001,Gowth rates,0.7369477911646587
Revenue Growth (MRQ),0.1597,0.5429,Gowth rates,0.29416098729047707
Revenue Growth (TTM),0.020800000000000003,0.2466,Gowth rates,0.08434712084347121
Return On Equity (TTM),0.073,0.1135,Effectiveness,0.6431718061674008
Return On Assets (TTM),0.0096,0.0099,Effectiveness,0.9696969696969695
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0031,0.0009,Financial strength,3.444444444444444
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
