,RNST
% Below High,0.035699999999999996
% Held by Institutions,0.7804000000000001
52-Wk Range,['27.61 - 41.77']
Annual Dividend $,0.88
Annual Dividend %,0.0215
Ask,40.33
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,40.27
Bid Size,200.0
Day Change $,-0.73
Day Change %,-0.0178
Day High,40.89
Day Low,40.27
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",2.79
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.284
Last (size),100.0
Last (time),12:57p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.68
Prev Close,41.01
Price,40.28
Short Interest,0.022000000000000002
Today's Open,40.89
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.02950819672131144
Growth 1yr High Est,-0.025559105431309903
Growth 1yr Consensus Est,-0.027533651076310672
Growth 2yr Low Est,0.04774590163934428
Growth 2yr High Est,0.08230241449745984
Growth 2yr Consensus Est,0.06502415806840206
Growth 5yr Low Est,0.041416810468794946
Growth 5yr High Est,0.06191245292347039
Growth 5yr Consensus Est,0.05166463169613267
Growth 5yr Actual/Est,0.15387912761372866
Growth 3yr Historic,0.12519290123456792
Price/Earnings (TTM),14.68419
Price/Sales (TTM),3.77169
Price/Book (MRQ),1.09672
Price/Cash Flow (TTM),11.28334
5yr Low,18.22
5yr High,49.78
5yr Avg Return,8.333333333332712e-05
EPS Growth 5yr,0.0755794
Revenue Growth 5yr,0.0732493
Dividend Growth 5yr,0.0468318
Short Int Current Month,1192118.0
Short Int Prev Month,1213394.0
Short Int Pct of Float,0.021950400000000002
Days to Cover,5.9208
Float,54.49531
Shares Outstanding,55.9531
Institutions Holding Shares,269.0
FCF Growth 5yr,0.5584220408203947
"Price/Earnings (TTM, GAAP)",14.68
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3297
Net Profit Margin (TTM),0.25780000000000003
Annual Dividend Yield,0.0215
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0323
EPS Growth (MRQ),0.1723
EPS Growth (TTM),-0.0734
Revenue Growth (MRQ),0.1597
Revenue Growth (TTM),0.020800000000000003
Return On Equity (TTM),0.073
Return On Assets (TTM),0.0096
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-11-03 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
