,TCBI
% Above Low,0.1847
% Held by Institutions,0.9873999999999999
52-Wk Range,['48.79 - 71.60']
Annual Dividend $,
Annual Dividend %,
Ask,57.84
Ask Size,200.0
Ask close,73.85
B/A Ratio,6.5
B/A Size,1300x200
Beta,1.4
Bid,57.8
Bid Size,1300.0
Bid close,45.51
Change Since Close,0.00| |(0.00%)
Closing Price,57.8
Day Change $,-1.74
Day Change %,-0.0292
Day High,59.41
Day Low,57.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.2
Ex-dividend Date,No dividend
Historical Volatility,0.37
Last (size),1500.0
Last (time),4:00p ET 11/28/22
Last Trade,57.8
Market Cap,2.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.61
Prev Close,59.54
Short Interest,0.039599999999999996
Today's Open,59.0
Volume,172904.0
Volume 10-day Avg,331240.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,1.7474747474747478
Growth 1yr High Est,1.6528925619834713
Growth 1yr Consensus Est,1.7001836547291096
Growth 2yr Low Est,0.9711638443256092
Growth 2yr High Est,1.159779614325069
Growth 2yr Consensus Est,1.065471729325339
Growth 5yr Low Est,0.2761556926546079
Growth 5yr High Est,0.3769349082511814
Growth 5yr Consensus Est,0.32654530045289465
Growth 5yr Actual/Est,0.5928881555754979
Growth 3yr Historic,0.5718742811134114
Price/Earnings (TTM),18.60613
Price/Sales (TTM),3.21013
Price/Book (MRQ),1.14894
Price/Cash Flow (TTM),13.15014
5yr Low,19.1
5yr High,103.05
5yr Avg Return,-0.04785000000000001
EPS Growth 5yr,0.081513
Revenue Growth 5yr,0.0450025
Dividend Growth 5yr,
Short Int Current Month,1948669.0
Short Int Prev Month,2320188.0
Short Int Pct of Float,0.039587
Days to Cover,4.89066
Float,49.47045
Shares Outstanding,49.89921
Institutions Holding Shares,331.0
FCF Growth 5yr,0.18562899692135992
"Price/Earnings (TTM, GAAP)",18.61
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2619
Net Profit Margin (TTM),0.1949
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.25260000000000005
EPS Growth (TTM),-0.2957
Revenue Growth (MRQ),0.329
Revenue Growth (TTM),0.09179999999999999
Return On Equity (TTM),0.06
Return On Assets (TTM),0.0054
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-21 00:00:00
theStreet since,2022-10-20 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
