,CMTL
% Above Low,0.38
% Held by Institutions,0.7417
52-Wk Range,['8.42 - 26.59']
Annual Dividend $,0.4
Annual Dividend %,0.0344
Ask,12.5
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.7
Bid,7.0
Bid Size,100.0
Closing Price,11.62
Day Change $,0.15
Day Change %,0.0131
Day High,11.76
Day Low,11.4
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",-1.64
Ex-dividend,2022-10-18 00:00:00
Ex-dividend Date,10/18/22
Historical Volatility,0.5770000000000001
Last (size),12.0
Last (time),12:59p ET 11/25/22
Market Cap,322.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,11.47
Short Interest,0.0196
Today's Open,11.52
Volume,22351.0
Volume 10-day Avg,97799.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.8360128617363344
Growth 1yr High Est,-1.152249134948097
Growth 1yr Consensus Est,-0.9941309983422157
Growth 2yr Low Est,-0.5258495681230692
Growth 2yr High Est,-0.17839729474677568
Growth 2yr Consensus Est,-0.3521234314349224
Growth 5yr Low Est,-0.35056637874871277
Growth 5yr High Est,-0.11893152983118378
Growth 5yr Consensus Est,-0.23474895428994827
Growth 5yr Actual/Est,-3.5179140644631444
Growth 3yr Historic,-2.911088911088911
Price/Earnings (TTM),
Price/Sales (TTM),0.66377
Price/Book (MRQ),0.68834
Price/Cash Flow (TTM),
5yr Low,8.42
5yr High,38.0
5yr Avg Return,-0.030716666666666677
EPS Growth 5yr,
Revenue Growth 5yr,-0.024472900000000002
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,521512.0
Short Int Prev Month,714638.0
Short Int Pct of Float,0.0196259
Days to Cover,5.43196
Float,26.57265
Shares Outstanding,27.77531
Institutions Holding Shares,202.0
FCF Growth 5yr,-2.5069044250240604
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3699
Operating Profit Margin (TTM),-0.0694
Net Profit Margin (TTM),-0.068
Annual Dividend Yield,0.0344
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-3.1167000000000002
EPS Growth (TTM),0.4362
Revenue Growth (MRQ),0.039900000000000005
Revenue Growth (TTM),-0.1641
Return On Equity (TTM),-0.0895
Return On Assets (TTM),-0.0336
Return On Investment (TTM),-0.0421
Revenue Per Employee (TTM),243973.0
Total Debt/Total Capital (MRQ),0.1852
Change in Debt/Total Capital Quarter over Quarter,-0.0034000000000000002
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),-0.13
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-05-05 00:00:00
ford since,2022-06-10 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-05 00:00:00
