,DRI
% Below High,0.044199999999999996
% Held by Institutions,0.8901
52-Wk Range,['110.96 - 155.25']
Annual Dividend $,4.84
Annual Dividend %,0.0326
Ask,149.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,125.0
Bid Size,100.0
Closing Price,148.39
Day Change $,0.06
Day Change %,0.0004
Day High,149.04
Day Low,147.58
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",7.22
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.358
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,18.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.55
Prev Close,148.33
Short Interest,0.0292
Today's Open,148.58
Volume,335996.0
Volume 10-day Avg,1026137.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-16 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.001369863013698569
Growth 1yr High Est,0.07962213225371118
Growth 1yr Consensus Est,0.0391261346200063
Growth 2yr Low Est,0.054870624048706296
Growth 2yr High Est,0.14606106612685554
Growth 2yr Consensus Est,0.10046584508778092
Growth 5yr Low Est,0.054870624048706296
Growth 5yr High Est,0.14606106612685554
Growth 5yr Consensus Est,0.10046584508778092
Growth 5yr Actual/Est,0.31363852759179833
Growth 3yr Historic,0.27290349362134275
Price/Earnings (TTM),20.55465
Price/Sales (TTM),1.85884
Price/Book (MRQ),8.80663
Price/Cash Flow (TTM),14.06087
5yr Low,26.15
5yr High,164.28
5yr Avg Return,0.10843333333333335
EPS Growth 5yr,0.1408539
Revenue Growth 5yr,0.0607646
Dividend Growth 5yr,0.15649570000000002
Short Int Current Month,3565200.0
Short Int Prev Month,3615064.0
Short Int Pct of Float,0.0292491
Days to Cover,3.21612
Float,121.9477
Shares Outstanding,122.3871
Institutions Holding Shares,978.0
FCF Growth 5yr,0.26864869951796977
"Price/Earnings (TTM, GAAP)",20.55
"PEG Ratio (TTM, GAAP)",2.32
Gross Profit Margin (TTM),0.1988
Operating Profit Margin (TTM),0.1152
Net Profit Margin (TTM),0.09380000000000001
Annual Dividend Yield,0.0326
Dividend Change %,0.7019
"Dividend Growth Rate, 3 Years",0.1295
EPS Growth (MRQ),-0.3028
EPS Growth (TTM),0.154
Revenue Growth (MRQ),-0.0602
Revenue Growth (TTM),0.22510000000000002
Return On Equity (TTM),0.38060000000000005
Return On Assets (TTM),0.0892
Return On Investment (TTM),0.1077
Revenue Per Employee (TTM),54595.0
Total Debt/Total Capital (MRQ),0.4922
Change in Debt/Total Capital Quarter over Quarter,0.0025
Quick Ratio (MRQ),0.37
Interest Coverage (MRQ),12.09
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-09-23 00:00:00
ford since,2022-05-20 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-10 00:00:00
