,AAPL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.27,22.87,Valuation,1.0612155662439877
Price/Sales (TTM),5.98,5.73,Valuation,1.043630017452007
Price/Book (MRQ),46.6,44.1,Valuation,1.056689342403628
"PEG Ratio (TTM, GAAP)",2.73,2.57,Valuation,1.0622568093385214
Gross Profit Margin (TTM),0.43310000000000004,0.4263,Profitability,1.0159512080694348
Operating Profit Margin (TTM),0.3029,0.2867,Profitability,1.0565050575514474
Net Profit Margin (TTM),0.2531,0.23690000000000003,Profitability,1.068383284086112
Annual Dividend Yield,0.0062,0.0074,Dividend,0.8378378378378377
Dividend Change %,0.0588,0.0593,Dividend,0.9915682967959528
"Dividend Growth Rate, 3 Years",0.06269999999999999,0.0618,Dividend,1.0145631067961163
EPS Growth (MRQ),0.0753,0.0139,Gowth rates,5.417266187050361
EPS Growth (TTM),0.0883,0.0891,Gowth rates,0.9910213243546577
Revenue Growth (MRQ),0.0866,0.0784,Gowth rates,1.1045918367346939
Revenue Growth (TTM),0.0779,0.0893,Gowth rates,0.8723404255319148
Return On Equity (TTM),1.7546000000000002,1.7101,Effectiveness,1.0260218700660781
Return On Assets (TTM),0.2836,0.27030000000000004,Effectiveness,1.0492045874953755
Return On Investment (TTM),0.4704,0.45,Effectiveness,1.0453333333333332
Revenue Per Employee (TTM),2404439.0,2289443.0,Effectiveness,1.050228811112572
Total Debt/Total Capital (MRQ),0.7031999999999999,0.7151000000000001,Financial strength,0.9833589707733182
Change in Debt/Total Capital Quarter over Quarter,-0.0005,-0.0004,Financial strength,1.25
Quick Ratio (MRQ),0.85,0.84,Financial strength,1.0119047619047619
Interest Coverage (MRQ),336.41,317.99,Financial strength,1.0579263498852165
