,AAPL
% Above Low,0.1478
% Held by Institutions,0.5798
52-Wk Range,['129.04 - 182.94']
Annual Dividend $,0.92
Annual Dividend %,0.0062
Ask,148.12
Ask Size,800.0
B/A Ratio,5.875
B/A Size,4700x800
Beta,1.2
Bid,148.11
Bid Size,4700.0
Closing Price,148.11
Day Change $,-2.96
Day Change %,-0.0196
Day High,148.88
Day Low,147.12
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",6.1
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.355
Last (size),50.0
Last (time),1:00p ET 11/25/22
Market Cap,2.4T
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.27
Prev Close,151.07
Short Interest,0.0072
Today's Open,148.31
Volume,35195860.0
Volume 10-day Avg,72685349.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,39.0
Growth 1yr Low Est,-0.03571428571428559
Growth 1yr High Est,0.09220985691573924
Growth 1yr Consensus Est,0.028247785600726827
Growth 2yr Low Est,0.03862433862433867
Growth 2yr High Est,0.0817672283123092
Growth 2yr Consensus Est,0.06019578346832394
Growth 5yr Low Est,0.21622352932761857
Growth 5yr High Est,0.23663995334104326
Growth 5yr Consensus Est,0.22643174133433092
Growth 5yr Actual/Est,0.22800141758228548
Growth 3yr Historic,0.19987310334333297
Price/Earnings (TTM),24.27197
Price/Sales (TTM),5.97511
Price/Book (MRQ),46.60129
Price/Cash Flow (TTM),21.24439
5yr Low,35.5
5yr High,182.94
5yr Avg Return,0.29069999999999996
EPS Growth 5yr,0.21575019999999998
Revenue Growth 5yr,0.1145915
Dividend Growth 5yr,0.0844718
Short Int Current Month,114431895.0
Short Int Prev Month,103178670.0
Short Int Pct of Float,0.0071986
Days to Cover,1.21464
Float,15896.63
Shares Outstanding,15908.12
Institutions Holding Shares,5465.0
FCF Growth 5yr,0.36954084580934365
"Price/Earnings (TTM, GAAP)",24.27
"PEG Ratio (TTM, GAAP)",2.73
Gross Profit Margin (TTM),0.43310000000000004
Operating Profit Margin (TTM),0.3029
Net Profit Margin (TTM),0.2531
Annual Dividend Yield,0.0062
Dividend Change %,0.0588
"Dividend Growth Rate, 3 Years",0.06269999999999999
EPS Growth (MRQ),0.0753
EPS Growth (TTM),0.0883
Revenue Growth (MRQ),0.0866
Revenue Growth (TTM),0.0779
Return On Equity (TTM),1.7546000000000002
Return On Assets (TTM),0.2836
Return On Investment (TTM),0.4704
Revenue Per Employee (TTM),2404439.0
Total Debt/Total Capital (MRQ),0.7031999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),0.85
Interest Coverage (MRQ),336.41
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-10-21 00:00:00
cfra since,2017-08-02 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
marketEdge since,2009-04-13 00:00:00
