,CVT
% Above Low,0.6545000000000001
% Held by Institutions,0.9468000000000001
52-Wk Range,['3.30 - 10.96']
Annual Dividend $,
Annual Dividend %,
Ask,5.9
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,
Bid,5.05
Bid Size,700.0
Closing Price,5.46
Day Change $,-0.06
Day Change %,-0.0109
Day High,5.51
Day Low,5.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.26
Ex-dividend Date,No dividend
Historical Volatility,0.8079999999999999
Last (size),22.0
Last (time),12:59p ET 11/25/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.52
Short Interest,0.0209
Today's Open,5.43
Volume,56820.0
Volume 10-day Avg,338303.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.33333333333333326
Growth 2yr High Est,0.21052631578947367
Growth 2yr Consensus Est,-0.06140350877192979
Growth 5yr Low Est,-0.33333333333333326
Growth 5yr High Est,0.21052631578947367
Growth 5yr Consensus Est,-0.06140350877192979
Growth 5yr Actual/Est,0.08496732026143783
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),4.37897
Price/Book (MRQ),1.66185
Price/Cash Flow (TTM),131.2781
5yr Low,3.3
5yr High,14.62
5yr Avg Return,-0.2039
Short Int Current Month,1154564.0
Short Int Prev Month,1788186.0
Short Int Pct of Float,0.0209066
Days to Cover,2.20829
Float,465.522
Shares Outstanding,484.6471
Institutions Holding Shares,101.0
FCF Growth 5yr,0.09465713152911599
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6099
Operating Profit Margin (TTM),-0.13720000000000002
Net Profit Margin (TTM),-0.1699
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.42350000000000004
EPS Growth (TTM),-0.5309
Revenue Growth (MRQ),0.0022
Revenue Growth (TTM),0.2341
Return On Equity (TTM),-0.0757
Return On Assets (TTM),-0.0458
Return On Investment (TTM),-0.055
Revenue Per Employee (TTM),140533.0
Total Debt/Total Capital (MRQ),0.09390000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0077
Quick Ratio (MRQ),
Interest Coverage (MRQ),-7.77
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2022-11-14 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
