,IPG
% Below High,0.1371
% Held by Institutions,0.9868000000000001
52-Wk Range,['25.14 - 39.98']
Annual Dividend $,1.16
Annual Dividend %,0.0336
Ask,34.79
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,25.14
Bid Size,100.0
Closing Price,34.5
Day Change $,0.28
Day Change %,0.008199999999999999
Day High,34.5
Day Low,34.2
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.52
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.349
Last (size),58.0
Last (time),5:00p ET 11/25/22
Market Cap,13.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.72
Prev Close,34.22
Short Interest,0.0245
Today's Open,34.2
Volume,1044928.0
Volume 10-day Avg,2787875.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.07569721115537864
Growth 1yr High Est,0.029962546816479474
Growth 1yr Consensus Est,0.05282987898592906
Growth 2yr Low Est,-0.0677069499778663
Growth 2yr High Est,0.020435818862785116
Growth 2yr Consensus Est,-0.023635565557540594
Growth 5yr Low Est,0.09993982535366291
Growth 5yr High Est,0.12040109908656499
Growth 5yr Consensus Est,0.11017046222011395
Growth 5yr Actual/Est,0.10232844095335525
Growth 3yr Historic,0.09981580760130584
Price/Earnings (TTM),13.71595
Price/Sales (TTM),1.23267
Price/Book (MRQ),4.01889
Price/Cash Flow (TTM),10.39239
5yr Low,11.63
5yr High,39.98
5yr Avg Return,0.12743333333333334
EPS Growth 5yr,0.1003168
Revenue Growth 5yr,0.0248888
Dividend Growth 5yr,0.1247461
Short Int Current Month,9463370.0
Short Int Prev Month,10502679.0
Short Int Pct of Float,0.0244746
Days to Cover,2.68735
Float,386.6609
Shares Outstanding,388.5247
Institutions Holding Shares,947.0
FCF Growth 5yr,-0.3930519792196598
"Price/Earnings (TTM, GAAP)",13.72
"PEG Ratio (TTM, GAAP)",3.05
Gross Profit Margin (TTM),0.1632
Operating Profit Margin (TTM),0.1277
Net Profit Margin (TTM),0.0931
Annual Dividend Yield,0.0336
Dividend Change %,0.0588
"Dividend Growth Rate, 3 Years",0.0874
EPS Growth (MRQ),0.1042
EPS Growth (TTM),0.4164
Revenue Growth (MRQ),-0.0358
Revenue Growth (TTM),0.10300000000000001
Return On Equity (TTM),0.3037
Return On Assets (TTM),0.0584
Return On Investment (TTM),0.11720000000000001
Revenue Per Employee (TTM),195576.0
Total Debt/Total Capital (MRQ),0.46049999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),12.04
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-11-24 00:00:00
researchTeam since,2021-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-24 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
