,IPG
Price/Earnings (TTM),13.71595
Price/Sales (TTM),1.23267
Price/Book (MRQ),4.01889
Price/Cash Flow (TTM),10.39239
5yr Low,11.63
5yr High,39.98
5yr Avg Return,0.12743333333333334
EPS Growth 5yr,0.1003168
Revenue Growth 5yr,0.0248888
Dividend Growth 5yr,0.1247461
Short Int Current Month,9463370.0
Short Int Prev Month,10502679.0
Short Int Pct of Float,0.0244746
Days to Cover,2.68735
Float,386.6609
Shares Outstanding,388.5247
Institutions Holding Shares,947.0
% Held by Institutions,0.9868300000000001
FCF Growth 5yr,-0.3930519792196598
