,GCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.84,19.03,Valuation,0.35943247503941145
Price/Sales (TTM),0.29,1.93,Valuation,0.15025906735751296
Price/Book (MRQ),1.22,92.12,Valuation,0.013243595310464611
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.4851,0.34390000000000004,Profitability,1.4105844722302994
Operating Profit Margin (TTM),0.060599999999999994,0.11789999999999999,Profitability,0.5139949109414759
Net Profit Margin (TTM),0.0452,0.0818,Profitability,0.5525672371638142
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),0.5824,-0.10800000000000001,Gowth rates,-5.392592592592592
EPS Growth (TTM),-0.0667,0.0262,Gowth rates,-2.545801526717557
Revenue Growth (MRQ),0.027999999999999997,0.0478,Gowth rates,0.5857740585774057
Revenue Growth (TTM),0.0789,0.0874,Gowth rates,0.9027459954233409
Return On Equity (TTM),0.188,5.2054,Effectiveness,0.03611634072309525
Return On Assets (TTM),0.0683,0.1562,Effectiveness,0.4372599231754161
Return On Investment (TTM),0.09630000000000001,0.26,Effectiveness,0.3703846153846154
Revenue Per Employee (TTM),132460.0,410011.0,Effectiveness,0.32306450314747653
Total Debt/Total Capital (MRQ),0.0802,0.8926999999999999,Financial strength,0.08983981180687801
Change in Debt/Total Capital Quarter over Quarter,0.017,0.0016,Financial strength,10.625
Quick Ratio (MRQ),0.42,0.39,Financial strength,1.0769230769230769
Interest Coverage (MRQ),24.89,13.36,Financial strength,1.8630239520958085
