,GCO
% Above Low,0.3889
% Held by Institutions,0.927
52-Wk Range,['37.54 - 72.34']
Annual Dividend $,
Annual Dividend %,
Ask,83.64
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.9
Bid,40.0
Bid Size,1000.0
Closing Price,52.14
Day Change $,-0.14
Day Change %,-0.0027
Day High,52.88
Day Low,52.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.63
Ex-dividend Date,No dividend
Historical Volatility,0.537
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,681.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.84
Prev Close,52.28
Short Interest,0.0564
Today's Open,52.52
Volume,35862.0
Volume 10-day Avg,112056.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.10236220472440949
Growth 2yr High Est,0.2084592145015105
Growth 2yr Consensus Est,0.15541070961296
Growth 5yr Low Est,0.10236220472440949
Growth 5yr High Est,0.2084592145015105
Growth 5yr Consensus Est,0.15541070961296
Growth 5yr Actual/Est,-2.1777132473217637
Growth 3yr Historic,-2.178817260010362
Price/Earnings (TTM),6.83774
Price/Sales (TTM),0.2858
Price/Book (MRQ),1.21745
Price/Cash Flow (TTM),4.53185
5yr Low,5.52
5yr High,73.72
5yr Avg Return,0.17785
EPS Growth 5yr,0.16891660000000003
Revenue Growth 5yr,0.036888000000000004
Dividend Growth 5yr,
Short Int Current Month,694518.0
Short Int Prev Month,731547.0
Short Int Pct of Float,0.0564302
Days to Cover,6.2833
Float,12.33142
Shares Outstanding,13.0691
Institutions Holding Shares,239.0
FCF Growth 5yr,0.11988516292564788
"Price/Earnings (TTM, GAAP)",6.84
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4851
Operating Profit Margin (TTM),0.060599999999999994
Net Profit Margin (TTM),0.0452
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5824
EPS Growth (TTM),-0.0667
Revenue Growth (MRQ),0.027999999999999997
Revenue Growth (TTM),0.0789
Return On Equity (TTM),0.188
Return On Assets (TTM),0.0683
Return On Investment (TTM),0.09630000000000001
Revenue Per Employee (TTM),132460.0
Total Debt/Total Capital (MRQ),0.0802
Change in Debt/Total Capital Quarter over Quarter,0.017
Quick Ratio (MRQ),0.42
Interest Coverage (MRQ),24.89
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-05-27 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
