,GCO
Price/Earnings (TTM),6.83774
Price/Sales (TTM),0.2858
Price/Book (MRQ),1.21745
Price/Cash Flow (TTM),4.53185
5yr Low,5.52
5yr High,73.72
5yr Avg Return,0.17785
EPS Growth 5yr,0.16891660000000003
Revenue Growth 5yr,0.036888000000000004
Dividend Growth 5yr,
Short Int Current Month,694518.0
Short Int Prev Month,731547.0
Short Int Pct of Float,0.0564302
Days to Cover,6.2833
Float,12.33142
Shares Outstanding,13.0691
Institutions Holding Shares,239.0
% Held by Institutions,0.927002
FCF Growth 5yr,0.11988516292564788
