,SSTI
Price/Earnings (TTM),106.5204
Price/Sales (TTM),5.60207
Price/Book (MRQ),6.99531
Price/Cash Flow (TTM),32.63651
5yr Low,12.56
5yr High,66.14
5yr Avg Return,0.23921666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.3026023
Dividend Growth 5yr,
Short Int Current Month,264568.0
Short Int Prev Month,280720.0
Short Int Pct of Float,0.030024099999999998
Days to Cover,6.54402
Float,8.89535
Shares Outstanding,12.19595
Institutions Holding Shares,127.0
% Held by Institutions,0.616719
FCF Growth 5yr,1.4849261942154373
