,SSTI
% Below High,0.1484
% Held by Institutions,0.6167
52-Wk Range,['22.63 - 39.28']
Annual Dividend $,
Annual Dividend %,
Ask,33.47
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,33.07
Bid Size,100.0
Day Change $,-0.53
Day Change %,-0.015600000000000001
Day High,34.17
Day Low,32.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.32
Ex-dividend Date,No dividend
Historical Volatility,0.469
Last (size),100.0
Last (time),3:21p ET 11/28/22
Market Cap,408.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",106.52
Prev Close,33.98
Price,33.45
Short Interest,0.03
Today's Open,33.81
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,3.0
Growth 1yr High Est,2.4210526315789473
Growth 1yr Consensus Est,2.7105263157894735
Growth 2yr Low Est,1.1071428571428572
Growth 2yr High Est,1.002834008097166
Growth 2yr Consensus Est,1.0549884326200116
Growth 5yr Low Est,0.7380952380952381
Growth 5yr High Est,0.6685560053981107
Growth 5yr Consensus Est,0.7033256217466742
Growth 5yr Actual/Est,-1.594097222222222
Growth 3yr Historic,-0.6552083333333334
Price/Earnings (TTM),106.5204
Price/Sales (TTM),5.60207
Price/Book (MRQ),6.99531
Price/Cash Flow (TTM),32.63651
5yr Low,12.56
5yr High,66.14
5yr Avg Return,0.23921666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.3026023
Dividend Growth 5yr,
Short Int Current Month,264568.0
Short Int Prev Month,280720.0
Short Int Pct of Float,0.030024099999999998
Days to Cover,6.54402
Float,8.89535
Shares Outstanding,12.19595
Institutions Holding Shares,127.0
FCF Growth 5yr,1.4849261942154373
"Price/Earnings (TTM, GAAP)",106.52
"PEG Ratio (TTM, GAAP)",3.55
Gross Profit Margin (TTM),0.5728
Operating Profit Margin (TTM),0.0616
Net Profit Margin (TTM),0.055700000000000006
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3347
EPS Growth (TTM),3.7674000000000003
Revenue Growth (MRQ),-0.062000000000000006
Revenue Growth (TTM),0.30160000000000003
Return On Equity (TTM),0.08720000000000001
Return On Assets (TTM),0.0464
Return On Investment (TTM),0.0792
Revenue Per Employee (TTM),442970.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
ford,rating-box
theStreet since,2022-10-27 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
ford since,
