,VMW
% Below High,0.1413
% Held by Institutions,0.4779
52-Wk Range,['91.53 - 136.86']
Annual Dividend $,
Annual Dividend %,
Ask,117.65
Ask Size,400.0
B/A Ratio,4.25
B/A Size,1700x400
Beta,0.7
Bid,114.54
Bid Size,1700.0
Closing Price,117.52
Day Change $,-1.74
Day Change %,-0.0146
Day High,118.77
Day Low,117.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.32
Ex-dividend Date,No dividend
Historical Volatility,0.354
Last (size),25.0
Last (time),7:00p ET 11/28/22
Market Cap,49.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.95
Prev Close,119.26
Short Interest,0.0208
Today's Open,117.74
Volume,786260.0
Volume 10-day Avg,989786.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-0.1311018131101812
Growth 1yr High Est,-0.106412005457026
Growth 1yr Consensus Est,-0.1187569092836036
Growth 2yr Low Est,-0.03585588247804411
Growth 2yr High Est,0.017786363683700734
Growth 2yr Consensus Est,-0.009034759397171688
Growth 5yr Low Est,-0.016781414529522237
Growth 5yr High Est,0.022655697854861507
Growth 5yr Consensus Est,0.0029371416626696365
Growth 5yr Actual/Est,0.03740083595414234
Growth 3yr Historic,0.04019764957264954
Price/Earnings (TTM),35.94821
Price/Sales (TTM),3.84497
Price/Book (MRQ),62.82797
Price/Cash Flow (TTM),20.55335
5yr Low,86.0
5yr High,206.8
5yr Avg Return,-0.006749999999999993
EPS Growth 5yr,0.0835712
Revenue Growth 5yr,0.1268514
Dividend Growth 5yr,
Short Int Current Month,4701431.0
Short Int Prev Month,4275275.0
Short Int Pct of Float,0.020774300000000002
Days to Cover,4.76
Float,226.1897
Shares Outstanding,424.4751
Institutions Holding Shares,1125.0
FCF Growth 5yr,0.17343995935474932
"Price/Earnings (TTM, GAAP)",35.95
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8153
Operating Profit Margin (TTM),0.1616
Net Profit Margin (TTM),0.1068
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.33770000000000006
EPS Growth (TTM),-0.3074
Revenue Growth (MRQ),-0.0375
Revenue Growth (TTM),0.0438
Return On Equity (TTM),0.2549
Return On Assets (TTM),0.0441
Return On Investment (TTM),0.0645
Revenue Per Employee (TTM),351093.0
Total Debt/Total Capital (MRQ),0.9299
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.6
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-11-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-05-30 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
