,VMW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",35.95,54.08,Valuation,0.6647559171597633
Price/Sales (TTM),3.84,9.39,Valuation,0.40894568690095845
Price/Book (MRQ),62.83,12.63,Valuation,4.974663499604117
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8153,0.7206,Profitability,1.1314182625589786
Operating Profit Margin (TTM),0.1616,0.2172,Profitability,0.7440147329650092
Net Profit Margin (TTM),0.1068,0.1553,Profitability,0.6877012234385061
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.33770000000000006,-0.0752,Gowth rates,4.490691489361702
EPS Growth (TTM),-0.3074,-0.2824,Gowth rates,1.0885269121813033
Revenue Growth (MRQ),-0.0375,0.15560000000000002,Gowth rates,-0.24100257069408737
Revenue Growth (TTM),0.0438,0.1906,Gowth rates,0.229800629590766
Return On Equity (TTM),0.2549,0.2189,Effectiveness,1.1644586569209685
Return On Assets (TTM),0.0441,0.10740000000000001,Effectiveness,0.4106145251396648
Return On Investment (TTM),0.0645,0.1387,Effectiveness,0.4650324441240087
Revenue Per Employee (TTM),351093.0,667721.0,Effectiveness,0.525807934751191
Total Debt/Total Capital (MRQ),0.9299,0.39659999999999995,Financial strength,2.344679778113969
Change in Debt/Total Capital Quarter over Quarter,0.0027,0.0004,Financial strength,6.75
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),7.6,0.28,Financial strength,27.14285714285714
