,HLI
% Below High,0.18600000000000003
% Held by Institutions,0.9840000000000001
52-Wk Range,['74.18 - 122.62']
Annual Dividend $,2.12
Annual Dividend %,0.0212
Ask,159.16
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,98.61
Bid Size,100.0
Closing Price,99.81
Day Change $,0.55
Day Change %,0.0055000000000000005
Day High,100.2
Day Low,98.61
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.41
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.34299999999999997
Last (size),200.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
"P/E Ratio (TTM, GAAP)",18.45
Prev Close,99.26
Short Interest,0.0203
Today's Open,99.37
Volume,92187.0
Volume 10-day Avg,312624.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.3490427098674521
Growth 1yr High Est,-0.2417127071823204
Growth 1yr Consensus Est,-0.29537770852488626
Growth 2yr Low Est,-0.1835711286893822
Growth 2yr High Est,0.01211268101721863
Growth 2yr Consensus Est,-0.08572922383608178
Growth 5yr Low Est,-0.1835711286893822
Growth 5yr High Est,0.01211268101721863
Growth 5yr Consensus Est,-0.08572922383608178
Growth 5yr Actual/Est,0.20930777213787774
Growth 3yr Historic,0.24513663419913412
Price/Earnings (TTM),18.45336
Price/Sales (TTM),3.02108
Price/Book (MRQ),4.73672
Price/Cash Flow (TTM),15.23958
5yr Low,34.32
5yr High,122.62
5yr Avg Return,0.17298333333333335
EPS Growth 5yr,0.3155885
Revenue Growth 5yr,0.2108524
Dividend Growth 5yr,0.1935868
Short Int Current Month,1011517.0
Short Int Prev Month,1293478.0
Short Int Pct of Float,0.020314600000000002
Days to Cover,2.71451
Float,49.7925
Shares Outstanding,68.65292
Institutions Holding Shares,411.0
FCF Growth 5yr,-0.5142500482797842
"Price/Earnings (TTM, GAAP)",18.45
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.227
Net Profit Margin (TTM),0.1636
Annual Dividend Yield,0.0212
Dividend Change %,0.32310000000000005
"Dividend Growth Rate, 3 Years",0.1678
EPS Growth (MRQ),-0.154
EPS Growth (TTM),-0.1057
Revenue Growth (MRQ),0.1693
Revenue Growth (TTM),0.16399999999999998
Return On Equity (TTM),0.25680000000000003
Return On Assets (TTM),0.1525
Return On Investment (TTM),0.2472
Revenue Per Employee (TTM),1004938.0
Total Debt/Total Capital (MRQ),0.0004
Change in Debt/Total Capital Quarter over Quarter,-0.0033000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),4062.32
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2017-08-15 00:00:00
researchTeam since,2022-04-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-22 00:00:00
cfra since,
marketEdge opinion since,
