,CONN
% Above Low,0.5482
% Held by Institutions,0.7315
52-Wk Range,['6.22 - 25.93']
Annual Dividend $,
Annual Dividend %,
Ask,9.65
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.4
Bid,9.63
Bid Size,200.0
Closing Price,9.63
Day Change $,0.19
Day Change %,0.020099999999999996
Day High,9.78
Day Low,9.26
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.19
Ex-dividend Date,No dividend
Historical Volatility,0.7640000000000001
Last (size),26.0
Last (time),12:59p ET 11/25/22
Market Cap,230.5M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.07
Prev Close,9.44
Short Interest,0.1741
Today's Open,9.48
Volume,64277.0
Volume 10-day Avg,144893.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-1.0765171503957784
Growth 1yr High Est,-1.0664961636828645
Growth 1yr Consensus Est,-1.0715066570393215
Growth 2yr Low Est,-2.0727413338185787
Growth 2yr High Est,-4.283248081841432
Growth 2yr Consensus Est,-3.1779947078300053
Growth 5yr Low Est,-2.0727413338185787
Growth 5yr High Est,-4.283248081841432
Growth 5yr Consensus Est,-3.1779947078300053
Growth 5yr Actual/Est,13.42049219451932
Growth 3yr Historic,14.966145833333334
Price/Earnings (TTM),8.07324
Price/Sales (TTM),0.15403
Price/Book (MRQ),0.41054
Price/Cash Flow (TTM),2.89366
5yr Low,2.83
5yr High,42.65
5yr Avg Return,-0.03495000000000002
EPS Growth 5yr,
Revenue Growth 5yr,-0.0008552999999999999
Dividend Growth 5yr,
Short Int Current Month,2336173.0
Short Int Prev Month,2544425.0
Short Int Pct of Float,0.1740634
Days to Cover,11.91275
Float,17.95601
Shares Outstanding,23.90289
Institutions Holding Shares,161.0
FCF Growth 5yr,-0.27503927212852897
"Price/Earnings (TTM, GAAP)",8.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4739
Operating Profit Margin (TTM),0.044500000000000005
Net Profit Margin (TTM),0.0229
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6378
EPS Growth (TTM),-0.6907
Revenue Growth (MRQ),0.02
Revenue Growth (TTM),0.006999999999999999
Return On Equity (TTM),0.056799999999999996
Return On Assets (TTM),0.0197
Return On Investment (TTM),0.023100000000000002
Revenue Per Employee (TTM),373600.0
Total Debt/Total Capital (MRQ),0.5186999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002
Quick Ratio (MRQ),2.39
Interest Coverage (MRQ),0.96
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-03-30 00:00:00
