,CMG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",52.74,114.03,Valuation,0.462509865824783
Price/Sales (TTM),4.99,5.62,Valuation,0.8879003558718861
Price/Book (MRQ),18.07,8.49,Valuation,2.1283863368669023
"PEG Ratio (TTM, GAAP)",1.92,0.53,Valuation,3.622641509433962
Gross Profit Margin (TTM),0.2834,0.4054,Profitability,0.6990626541687223
Operating Profit Margin (TTM),0.12150000000000001,0.163,Profitability,0.745398773006135
Net Profit Margin (TTM),0.09609999999999999,0.0779,Profitability,1.2336328626444157
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-0.006,0.3309,Gowth rates,-0.01813236627379873
EPS Growth (TTM),0.1534,2.1359,Gowth rates,0.07181984175289106
Revenue Growth (MRQ),0.0031,0.38439999999999996,Gowth rates,0.008064516129032258
Revenue Growth (TTM),0.1697,0.7695000000000001,Gowth rates,0.22053281351526963
Return On Equity (TTM),0.34880000000000005,0.19090000000000001,Effectiveness,1.8271346254583554
Return On Assets (TTM),0.12029999999999999,0.0758,Effectiveness,1.5870712401055407
Return On Investment (TTM),0.1374,0.1005,Effectiveness,1.3671641791044775
Revenue Per Employee (TTM),86163.0,285753.0,Effectiveness,0.3015296427334096
Total Debt/Total Capital (MRQ),0.0,1.1596,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.002,Financial strength,
Quick Ratio (MRQ),1.28,0.81,Financial strength,1.5802469135802468
Interest Coverage (MRQ),,40.22,Financial strength,
