,CMG
% Below High,0.1472
% Held by Institutions,0.945
52-Wk Range,"['1,196.28 - 1,776.67']"
Annual Dividend $,
Annual Dividend %,
Ask,1516.99
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,1514.01
Bid Size,100.0
Closing Price,1515.2
Day Change $,6.37
Day Change %,0.0042
Day High,1519.19
Day Low,1502.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",28.73
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,42.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",52.74
Prev Close,1508.83
Short Interest,0.0347
Today's Open,1508.77
Volume,87499.0
Volume 10-day Avg,239859.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,0.3381877022653721
Growth 1yr High Est,0.3231305695466873
Growth 1yr Consensus Est,0.3306591359060297
Growth 2yr Low Est,0.2888036455704128
Growth 2yr High Est,0.36537201976602307
Growth 2yr Consensus Est,0.32708783266821795
Growth 5yr Low Est,0.4199580266183618
Growth 5yr High Est,0.44674300232632114
Growth 5yr Consensus Est,0.4333505144723415
Growth 5yr Actual/Est,0.43405169551800554
Growth 3yr Historic,0.28318994537548964
Price/Earnings (TTM),52.7386
Price/Sales (TTM),4.99163
Price/Book (MRQ),18.06679
Price/Cash Flow (TTM),38.60839
5yr Low,247.52
5yr High,1958.55
5yr Avg Return,0.3791166666666667
EPS Growth 5yr,0.9707084
Revenue Growth 5yr,0.1408934
Dividend Growth 5yr,
Short Int Current Month,955552.0
Short Int Prev Month,1034351.0
Short Int Pct of Float,0.0346967
Days to Cover,2.90691
Float,27.5467
Shares Outstanding,27.72111
Institutions Holding Shares,1228.0
FCF Growth 5yr,0.26315465580171465
"Price/Earnings (TTM, GAAP)",52.74
"PEG Ratio (TTM, GAAP)",1.92
Gross Profit Margin (TTM),0.2834
Operating Profit Margin (TTM),0.12150000000000001
Net Profit Margin (TTM),0.09609999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.006
EPS Growth (TTM),0.1534
Revenue Growth (MRQ),0.0031
Revenue Growth (TTM),0.1697
Return On Equity (TTM),0.34880000000000005
Return On Assets (TTM),0.12029999999999999
Return On Investment (TTM),0.1374
Revenue Per Employee (TTM),86163.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.28
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-06-21 00:00:00
cfra since,2019-04-25 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-04-19 00:00:00
