,BBY
% Above Low,0.33630000000000004
% Held by Institutions,0.7854000000000001
52-Wk Range,['60.79 - 116.22']
Annual Dividend $,3.52
Annual Dividend %,0.0433
Ask,81.35
Ask Size,400.0
B/A Ratio,3.0
B/A Size,1200x400
Beta,1.5
Bid,81.25
Bid Size,1200.0
Closing Price,81.23
Day Change $,-1.16
Day Change %,-0.0141
Day High,83.29
Day Low,81.1
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",6.7
Ex-dividend,2022-12-12 00:00:00
Ex-dividend Date,12/12/22
Historical Volatility,0.456
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,18.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.13
Prev Close,82.39
Short Interest,0.0341
Today's Open,82.25
Volume,2343631.0
Volume 10-day Avg,4650008.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.3326039387308535
Growth 1yr High Est,-0.2760975609756098
Growth 1yr Consensus Est,-0.30435074985323163
Growth 2yr Low Est,-0.17777737920149228
Growth 2yr High Est,-0.07470646242850576
Growth 2yr Consensus Est,-0.12624192081499902
Growth 5yr Low Est,0.04195346811695666
Growth 5yr High Est,0.11262583757503036
Growth 5yr Consensus Est,0.07728965284599351
Growth 5yr Actual/Est,0.06902787674011149
Growth 3yr Historic,0.14215421848347448
Price/Earnings (TTM),12.13168
Price/Sales (TTM),0.38156
Price/Book (MRQ),6.11005
Price/Cash Flow (TTM),7.44297
5yr Low,47.72
5yr High,141.97
5yr Avg Return,0.10064999999999999
EPS Growth 5yr,0.21344960000000002
Revenue Growth 5yr,0.0560748
Dividend Growth 5yr,0.19887090000000002
Short Int Current Month,6842018.0
Short Int Prev Month,7049435.0
Short Int Pct of Float,0.0340978
Days to Cover,2.79769
Float,200.8311
Shares Outstanding,225.1308
Institutions Holding Shares,1100.0
FCF Growth 5yr,-0.7391517846001547
"Price/Earnings (TTM, GAAP)",12.13
"PEG Ratio (TTM, GAAP)",1.52
Gross Profit Margin (TTM),0.2146
Operating Profit Margin (TTM),0.0418
Net Profit Margin (TTM),0.032400000000000005
Annual Dividend Yield,0.0433
Dividend Change %,0.23260000000000003
"Dividend Growth Rate, 3 Years",0.1618
EPS Growth (MRQ),-0.09519999999999999
EPS Growth (TTM),-0.3505
Revenue Growth (MRQ),0.025
Revenue Growth (TTM),-0.0842
Return On Equity (TTM),0.4264
Return On Assets (TTM),0.0837
Return On Investment (TTM),0.207
Revenue Per Employee (TTM),456457.0
Total Debt/Total Capital (MRQ),0.27899999999999997
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),0.26
Interest Coverage (MRQ),65.17
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-05-13 00:00:00
cfra since,2022-05-13 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-07-06 00:00:00
