,PTEN
% Below High,0.16219999999999998
% Held by Institutions,0.9587
52-Wk Range,['6.71 - 20.53']
Annual Dividend $,0.32
Annual Dividend %,0.0182
Ask,17.2
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,2.4
Bid,17.19
Bid Size,300.0
Day Change $,-0.38
Day Change %,-0.0216
Day High,17.4
Day Low,16.87
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",-1.45
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.674
Last (size),100.0
Last (time),11:48a ET 11/28/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,17.58
Price,17.2
Short Interest,0.0395
Today's Open,16.87
Volume Past Day,(Below Average)
Price/Earnings (TTM),
Price/Sales (TTM),1.63902
Price/Book (MRQ),2.33221
Price/Cash Flow (TTM),8.45853
5yr Low,1.61
5yr High,25.03
5yr Avg Return,0.12296666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.08181940000000001
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,8402184.0
Short Int Prev Month,9113545.0
Short Int Pct of Float,0.0395324
Days to Cover,3.15374
Float,212.3808
Shares Outstanding,216.8217
Institutions Holding Shares,361.0
FCF Growth 5yr,0.038575924046184484
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.26489999999999997
Operating Profit Margin (TTM),-0.11460000000000001
Net Profit Margin (TTM),-0.1332
Annual Dividend Yield,0.0182
Dividend Change %,-0.2
"Dividend Growth Rate, 3 Years",-0.1702
EPS Growth (MRQ),1.7979
EPS Growth (TTM),0.317
Revenue Growth (MRQ),0.16920000000000002
Revenue Growth (TTM),1.0925
Return On Equity (TTM),-0.1844
Return On Assets (TTM),-0.1023
Return On Investment (TTM),-0.1178
Revenue Per Employee (TTM),465122.0
Total Debt/Total Capital (MRQ),0.3429
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.43
Interest Coverage (MRQ),6.98
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-04 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
