,PTEN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,669.05,Valuation,
Price/Sales (TTM),1.64,2.16,Valuation,0.7592592592592592
Price/Book (MRQ),2.33,3.21,Valuation,0.7258566978193147
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.26489999999999997,0.1895,Profitability,1.3978891820580472
Operating Profit Margin (TTM),-0.11460000000000001,0.0622,Profitability,-1.8424437299035372
Net Profit Margin (TTM),-0.1332,0.011899999999999999,Profitability,-11.19327731092437
Annual Dividend Yield,0.0182,0.0131,Dividend,1.3893129770992367
Dividend Change %,-0.2,-0.2443,Dividend,0.8186655751125665
"Dividend Growth Rate, 3 Years",-0.1702,-0.21420000000000003,Dividend,0.7945845004668532
EPS Growth (MRQ),1.7979,0.659,Gowth rates,2.728224582701062
EPS Growth (TTM),0.317,-0.1462,Gowth rates,-2.168262653898769
Revenue Growth (MRQ),0.16920000000000002,0.3728,Gowth rates,0.453862660944206
Revenue Growth (TTM),1.0925,0.2954,Gowth rates,3.698375084631009
Return On Equity (TTM),-0.1844,0.0775,Effectiveness,-2.3793548387096775
Return On Assets (TTM),-0.1023,0.0348,Effectiveness,-2.939655172413793
Return On Investment (TTM),-0.1178,0.1063,Effectiveness,-1.108184383819379
Revenue Per Employee (TTM),465122.0,673709.0,Effectiveness,0.6903900645530934
Total Debt/Total Capital (MRQ),0.3429,0.3983,Financial strength,0.8609088626663319
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0006,Financial strength,-1.0
Quick Ratio (MRQ),1.43,1.2,Financial strength,1.1916666666666667
Interest Coverage (MRQ),6.98,15.83,Financial strength,0.4409349336702464
