,NOTV
% Above Low,0.5596
% Held by Institutions,0.4768
52-Wk Range,['4.45 - 58.88']
Annual Dividend $,
Annual Dividend %,
Ask,7.2
Ask Size,300.0
Ask close,8.51
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.5
Bid,6.91
Bid Size,100.0
Bid close,5.39
Change Since Close,0.12| |(1.73%)
Closing Price,6.94
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.55
Ex-dividend Date,No dividend
Historical Volatility,1.348
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,7.06
Market Cap,177.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.94
Short Interest,0.0832
Today's Open,
Volume,1343.0
Volume 10-day Avg,1966741.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-15 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.9596199524940617
Growth 2yr High Est,-1.0985576923076923
Growth 2yr Consensus Est,-1.029088822400877
Growth 5yr Low Est,-0.9596199524940617
Growth 5yr High Est,-1.0985576923076923
Growth 5yr Consensus Est,-1.029088822400877
Growth 5yr Actual/Est,3.0048767022451233
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.41571
Price/Book (MRQ),0.28851
Price/Cash Flow (TTM),
5yr Low,1.18
5yr High,60.66
5yr Avg Return,0.9129
EPS Growth 5yr,
Revenue Growth 5yr,0.3438971
Dividend Growth 5yr,
Short Int Current Month,1579578.0
Short Int Prev Month,1644494.0
Short Int Pct of Float,0.08316599999999999
Days to Cover,6.24359
Float,19.1401
Shares Outstanding,25.59331
Institutions Holding Shares,132.0
FCF Growth 5yr,1.9544191795965258
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2932
Operating Profit Margin (TTM),-0.0571
Net Profit Margin (TTM),-0.1858
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3922
EPS Growth (TTM),-41.4652
Revenue Growth (MRQ),0.2306
Revenue Growth (TTM),4.6739999999999995
Return On Equity (TTM),-0.22219999999999998
Return On Assets (TTM),-0.11810000000000001
Return On Investment (TTM),-0.1379
Revenue Per Employee (TTM),789771.0
Total Debt/Total Capital (MRQ),0.3557
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),1.15
Interest Coverage (MRQ),1.58
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-10 00:00:00
theStreet since,2022-11-10 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
