,NOTV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),0.42,6.06,Valuation,0.06930693069306931
Price/Book (MRQ),0.29,6.22,Valuation,0.04662379421221865
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.2932,0.5095000000000001,Profitability,0.5754661432777232
Operating Profit Margin (TTM),-0.0571,0.0332,Profitability,-1.719879518072289
Net Profit Margin (TTM),-0.1858,-0.0454,Profitability,4.092511013215859
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.3922,-0.5094,Gowth rates,-0.7699254024342364
EPS Growth (TTM),-41.4652,-0.2377,Gowth rates,174.44341607067733
Revenue Growth (MRQ),0.2306,0.1691,Gowth rates,1.3636901241868717
Revenue Growth (TTM),4.6739999999999995,0.1222,Gowth rates,38.24877250409165
Return On Equity (TTM),-0.22219999999999998,1.1042,Effectiveness,-0.20123166093099074
Return On Assets (TTM),-0.11810000000000001,0.0644,Effectiveness,-1.8338509316770188
Return On Investment (TTM),-0.1379,0.0802,Effectiveness,-1.7194513715710724
Revenue Per Employee (TTM),789771.0,335561.0,Effectiveness,2.3535839981404276
Total Debt/Total Capital (MRQ),0.3557,0.3893,Financial strength,0.9136912406884152
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.0252,Financial strength,0.05952380952380953
Quick Ratio (MRQ),1.15,1.51,Financial strength,0.7615894039735098
Interest Coverage (MRQ),1.58,33.07,Financial strength,0.04777744179014212
