,EZPW
% Below High,0.0175
% Held by Institutions,0.9329000000000001
52-Wk Range,['5.51 - 10.27']
Annual Dividend $,
Annual Dividend %,
Ask,16.14
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,9.97
Bid Size,100.0
Closing Price,10.09
Day Change $,0.06
Day Change %,0.006
Day High,10.12
Day Low,9.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.61
Ex-dividend Date,No dividend
Historical Volatility,0.391
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,568.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.56
Prev Close,10.03
Short Interest,0.0781
Today's Open,9.98
Volume,198149.0
Volume 10-day Avg,700994.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0547945205479452
Growth 2yr High Est,-0.012345679012345734
Growth 2yr Consensus Est,0.021224420767799734
Growth 5yr Low Est,0.0547945205479452
Growth 5yr High Est,-0.012345679012345734
Growth 5yr Consensus Est,0.021224420767799734
Growth 5yr Actual/Est,0.2565812257917521
Growth 3yr Historic,0.24342105263157893
Price/Earnings (TTM),16.55673
Price/Sales (TTM),0.6411
Price/Book (MRQ),0.82246
Price/Cash Flow (TTM),6.90352
5yr Low,3.41
5yr High,15.1
5yr Avg Return,0.019866666666666657
EPS Growth 5yr,-0.000839
Revenue Growth 5yr,0.0345088
Dividend Growth 5yr,
Short Int Current Month,4027622.0
Short Int Prev Month,4335260.0
Short Int Pct of Float,0.07810299999999999
Days to Cover,8.67037
Float,51.77668
Shares Outstanding,56.30915
Institutions Holding Shares,216.0
FCF Growth 5yr,1.543916744655845
"Price/Earnings (TTM, GAAP)",16.56
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.596
Operating Profit Margin (TTM),0.08449999999999999
Net Profit Margin (TTM),0.056600000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3997
EPS Growth (TTM),2.9406
Revenue Growth (MRQ),0.08140000000000001
Revenue Growth (TTM),0.21480000000000002
Return On Equity (TTM),0.0735
Return On Assets (TTM),0.0384
Return On Investment (TTM),0.0435
Revenue Per Employee (TTM),126604.0
Total Debt/Total Capital (MRQ),0.3113
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),3.22
Interest Coverage (MRQ),8.96
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-05-18 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
