,EZPW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.56,8.59,Valuation,1.9278230500582072
Price/Sales (TTM),0.64,1.88,Valuation,0.34042553191489366
Price/Book (MRQ),0.82,3.02,Valuation,0.271523178807947
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),0.596,0.38079999999999997,Profitability,1.565126050420168
Operating Profit Margin (TTM),0.08449999999999999,0.2543,Profitability,0.332284703106567
Net Profit Margin (TTM),0.056600000000000004,0.19039999999999999,Profitability,0.29726890756302526
Annual Dividend Yield,,0.0187,Dividend,
Dividend Change %,,0.242,Dividend,
"Dividend Growth Rate, 3 Years",,0.0575,Dividend,
EPS Growth (MRQ),-0.3997,-0.1573,Gowth rates,2.5410044500953592
EPS Growth (TTM),2.9406,-0.04820000000000001,Gowth rates,-61.00829875518671
Revenue Growth (MRQ),0.08140000000000001,0.2511,Gowth rates,0.32417363600159305
Revenue Growth (TTM),0.21480000000000002,0.21670000000000003,Gowth rates,0.9912321181356714
Return On Equity (TTM),0.0735,0.2596,Effectiveness,0.28312788906009245
Return On Assets (TTM),0.0384,0.0326,Effectiveness,1.177914110429448
Return On Investment (TTM),0.0435,0.0432,Effectiveness,1.0069444444444444
Revenue Per Employee (TTM),126604.0,448656.0,Effectiveness,0.2821850147997575
Total Debt/Total Capital (MRQ),0.3113,0.4919,Financial strength,0.6328522057328726
Change in Debt/Total Capital Quarter over Quarter,0.0011,0.0012,Financial strength,0.9166666666666669
Quick Ratio (MRQ),3.22,0.05,Financial strength,64.4
Interest Coverage (MRQ),8.96,16.82,Financial strength,0.5326991676575505
