,CBRL
% Below High,0.1613
% Held by Institutions,0.8652
52-Wk Range,['81.87 - 139.90']
Annual Dividend $,5.2
Annual Dividend %,0.0443
Ask,117.33
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,116.2
Bid Size,100.0
Closing Price,117.33
Day Change $,1.14
Day Change %,0.0098
Day High,117.67
Day Low,115.53
Dividend Pay Date,2022-11-08 00:00:00
"EPS (TTM, GAAP)",5.67
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.401
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.69
Prev Close,116.19
Short Interest,0.0926
Today's Open,116.26
Volume,132808.0
Volume 10-day Avg,321535.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.11795774647887325
Growth 1yr High Est,0.11256117455138659
Growth 1yr Consensus Est,0.11525946051512992
Growth 2yr Low Est,0.11094737717644454
Growth 2yr High Est,0.18604598317012144
Growth 2yr Consensus Est,0.148496680173283
Growth 5yr Low Est,0.12860972686079908
Growth 5yr High Est,0.15492786281454318
Growth 5yr Consensus Est,0.14176879483767113
Growth 5yr Actual/Est,0.4877768115236227
Growth 3yr Historic,0.42610818646524756
Price/Earnings (TTM),20.68648
Price/Sales (TTM),0.79593
Price/Book (MRQ),5.11122
Price/Cash Flow (TTM),11.04674
5yr Low,53.61
5yr High,185.0
5yr Avg Return,-0.03171666666666667
EPS Growth 5yr,-0.0748577
Revenue Growth 5yr,0.022321
Dividend Growth 5yr,0.024823599999999998
Short Int Current Month,2012213.0
Short Int Prev Month,2180947.0
Short Int Pct of Float,0.0925555
Days to Cover,5.65232
Float,21.74429
Shares Outstanding,22.16766
Institutions Holding Shares,392.0
FCF Growth 5yr,2.8570604930943255
"Price/Earnings (TTM, GAAP)",20.69
"PEG Ratio (TTM, GAAP)",2.0
Gross Profit Margin (TTM),0.6787000000000001
Operating Profit Margin (TTM),0.0468
Net Profit Margin (TTM),0.0404
Annual Dividend Yield,0.0443
Dividend Change %,
"Dividend Growth Rate, 3 Years",0.013200000000000002
EPS Growth (MRQ),0.2346
EPS Growth (TTM),-0.4703
Revenue Growth (MRQ),0.0509
Revenue Growth (TTM),0.1582
Return On Equity (TTM),0.2245
Return On Assets (TTM),0.0563
Return On Investment (TTM),0.0709
Revenue Per Employee (TTM),44764.0
Total Debt/Total Capital (MRQ),0.4529
Change in Debt/Total Capital Quarter over Quarter,0.0034999999999999996
Quick Ratio (MRQ),0.21
Interest Coverage (MRQ),12.58
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-30 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-01-03 00:00:00
