,LOW
% Above Low,0.2401
% Held by Institutions,0.7379000000000001
52-Wk Range,['170.12 - 263.31']
Annual Dividend $,4.2
Annual Dividend %,0.0199
Ask,215.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,205.14
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,210.97
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-02-08 00:00:00
"EPS (TTM, GAAP)",10.2
Ex-dividend,2023-01-24 00:00:00
Ex-dividend Date,01/24/23
Historical Volatility,0.33
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,210.97
Market Cap,128.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.69
Prev Close,210.97
Short Interest,0.019
Today's Open,
Volume,1.0
Volume 10-day Avg,3794581.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,0.1508474576271186
Growth 1yr High Est,0.15535568274734257
Growth 1yr Consensus Est,0.15310157018723058
Growth 2yr Low Est,0.015040812760540145
Growth 2yr High Est,0.11872525821726643
Growth 2yr Consensus Est,0.06688303548890329
Growth 5yr Low Est,0.23198285462361862
Growth 5yr High Est,0.2845062271537318
Growth 5yr Consensus Est,0.2582445408886752
Growth 5yr Actual/Est,0.2681099245644365
Growth 3yr Historic,0.22494651094317397
Price/Earnings (TTM),20.68672
Price/Sales (TTM),1.32955
Price/Book (MRQ),
Price/Cash Flow (TTM),14.68225
5yr Low,60.0
5yr High,263.31
5yr Avg Return,0.20023333333333335
EPS Growth 5yr,0.28188030000000003
Revenue Growth 5yr,0.0816201
Dividend Growth 5yr,0.1731607
Short Int Current Month,11467157.0
Short Int Prev Month,10699105.0
Short Int Pct of Float,0.0189887
Days to Cover,2.89195
Float,604.0014
Shares Outstanding,604.7026
Institutions Holding Shares,2692.0
FCF Growth 5yr,0.2213647882602531
"Price/Earnings (TTM, GAAP)",20.69
"PEG Ratio (TTM, GAAP)",2.2
Gross Profit Margin (TTM),0.33380000000000004
Operating Profit Margin (TTM),0.10740000000000001
Net Profit Margin (TTM),0.0697
Annual Dividend Yield,0.0199
Dividend Change %,0.2444
"Dividend Growth Rate, 3 Years",0.163
EPS Growth (MRQ),-0.9475
EPS Growth (TTM),-0.1143
Revenue Growth (MRQ),-0.14550000000000002
Revenue Growth (TTM),0.0077
Return On Equity (TTM),
Return On Assets (TTM),0.1388
Return On Investment (TTM),0.2446
Revenue Per Employee (TTM),479765.0
Total Debt/Total Capital (MRQ),1.6233000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002
Quick Ratio (MRQ),0.25
Interest Coverage (MRQ),3.18
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-08-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-04 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
