,SHOO
% Above Low,0.2646
% Held by Institutions,0.9603
52-Wk Range,['26.36 - 49.85']
Annual Dividend $,0.84
Annual Dividend %,0.024700000000000003
Ask,33.35
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.1
Bid,33.32
Bid Size,500.0
Day Change $,-0.625
Day Change %,-0.0184
Day High,34.39
Day Low,33.33
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.16
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.429
Last (size),99.0
Last (time),2:14p ET 11/28/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.76
Prev Close,33.96
Price,33.34
Short Interest,0.046900000000000004
Today's Open,33.61
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.1724137931034484
Growth 1yr High Est,0.18487394957983194
Growth 1yr Consensus Est,0.17864387134164017
Growth 2yr Low Est,0.01083924949290066
Growth 2yr High Est,0.15626676202395862
Growth 2yr Consensus Est,0.08355300575842964
Growth 5yr Low Est,0.057502958079783645
Growth 5yr High Est,0.13170480958340786
Growth 5yr Consensus Est,0.09460388383159575
Growth 5yr Actual/Est,0.5452590811965811
Growth 3yr Historic,0.4961137820512819
Price/Earnings (TTM),10.76342
Price/Sales (TTM),1.18615
Price/Book (MRQ),3.14102
Price/Cash Flow (TTM),9.78119
5yr Low,16.38
5yr High,51.56
5yr Avg Return,0.054400000000000004
EPS Growth 5yr,0.11532640000000001
Revenue Growth 5yr,0.0592322
Dividend Growth 5yr,
Short Int Current Month,3437747.0
Short Int Prev Month,4307633.0
Short Int Pct of Float,0.046943
Days to Cover,2.92192
Float,73.24689
Shares Outstanding,77.88348
Institutions Holding Shares,328.0
FCF Growth 5yr,-0.9427236433136755
"Price/Earnings (TTM, GAAP)",10.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4097
Operating Profit Margin (TTM),0.1441
Net Profit Margin (TTM),0.1127
Annual Dividend Yield,0.024700000000000003
Dividend Change %,
"Dividend Growth Rate, 3 Years",0.0357
EPS Growth (MRQ),0.2864
EPS Growth (TTM),0.7909
Revenue Growth (MRQ),0.0405
Revenue Growth (TTM),0.3591
Return On Equity (TTM),0.305
Return On Assets (TTM),0.19899999999999998
Return On Investment (TTM),0.2733
Revenue Per Employee (TTM),929103.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.05
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-07-29 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
marketEdge opinion since,
