,SHOO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.76,21.69,Valuation,0.4960811433840479
Price/Sales (TTM),1.19,3.75,Valuation,0.3173333333333333
Price/Book (MRQ),3.14,9.43,Valuation,0.3329798515376458
"PEG Ratio (TTM, GAAP)",,2.33,Valuation,
Gross Profit Margin (TTM),0.4097,0.49729999999999996,Profitability,0.8238487834305249
Operating Profit Margin (TTM),0.1441,0.1348,Profitability,1.0689910979228487
Net Profit Margin (TTM),0.1127,0.0965,Profitability,1.1678756476683938
Annual Dividend Yield,0.024700000000000003,0.013999999999999999,Dividend,1.7642857142857147
Dividend Change %,,0.0796,Dividend,
"Dividend Growth Rate, 3 Years",0.0357,0.059800000000000006,Dividend,0.5969899665551839
EPS Growth (MRQ),0.2864,0.44920000000000004,Gowth rates,0.6375779162956366
EPS Growth (TTM),0.7909,0.0931,Gowth rates,8.49516648764769
Revenue Growth (MRQ),0.0405,0.0901,Gowth rates,0.44950055493895674
Revenue Growth (TTM),0.3591,0.1015,Gowth rates,3.537931034482758
Return On Equity (TTM),0.305,0.35840000000000005,Effectiveness,0.8510044642857142
Return On Assets (TTM),0.19899999999999998,0.14250000000000002,Effectiveness,1.3964912280701751
Return On Investment (TTM),0.2733,0.1893,Effectiveness,1.4437400950871633
Revenue Per Employee (TTM),929103.0,519163.0,Effectiveness,1.7896171337325657
Total Debt/Total Capital (MRQ),0.0,0.31579999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0002,Financial strength,
Quick Ratio (MRQ),2.05,1.39,Financial strength,1.474820143884892
Interest Coverage (MRQ),,76.17,Financial strength,
