,TH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.76,103.69,Valuation,0.2870093548075996
Price/Sales (TTM),3.12,5.63,Valuation,0.5541740674955595
Price/Book (MRQ),9.24,8.51,Valuation,1.0857814336075207
"PEG Ratio (TTM, GAAP)",,0.48,Valuation,
Gross Profit Margin (TTM),0.44630000000000003,0.4058,Profitability,1.0998028585510105
Operating Profit Margin (TTM),0.2872,0.1648,Profitability,1.7427184466019419
Net Profit Margin (TTM),0.10470000000000002,0.0801,Profitability,1.307116104868914
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),-0.16899999999999998,0.3321,Gowth rates,-0.5088828666064438
EPS Growth (TTM),4.1303,2.1422,Gowth rates,1.9280646064793205
Revenue Growth (MRQ),0.45530000000000004,0.38689999999999997,Gowth rates,1.1767898681829931
Revenue Growth (TTM),0.6506000000000001,0.7726000000000001,Gowth rates,0.842091638622832
Return On Equity (TTM),0.3779,0.1915,Effectiveness,1.9733681462140993
Return On Assets (TTM),0.0717,0.0764,Effectiveness,0.9384816753926702
Return On Investment (TTM),0.09380000000000001,0.1012,Effectiveness,0.9268774703557313
Revenue Per Employee (TTM),523982.0,286353.0,Effectiveness,1.8298463784210397
Total Debt/Total Capital (MRQ),0.6970000000000001,1.1601000000000001,Financial strength,0.6008102749762951
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003,0.002,Financial strength,-1.3
Quick Ratio (MRQ),,0.8,Financial strength,
Interest Coverage (MRQ),2.01,40.35,Financial strength,0.049814126394052034
